Pokemon,No.,Caught?,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Pal Park,Pokéwalker
Spearow,#0021,False,Routes 225 and 226,Routes 225 and 226,Route 225,"Routes 3, 4, 7, 9, 10, 22, 33, 42, 46, and 47 Safari Zone Morning Day (tall grass in Wetland, default) Routes 7, 11, 16, 33, 42, 44, 45, and 46, Azalea Town, Vermilion City, Celadon City (Headbutt trees) Received from Webster on Route 35","Routes 3, 4, 7, 9, 10, 22, 33, 42, 46, and 47 Safari Zone Morning Day (tall grass in Wetland, default) Routes 7, 11, 16, 33, 42, 44, 45, and 46, Azalea Town, Vermilion City, Celadon City (Headbutt trees) Received from Webster on Route 35",Field,Noisy Forest
Fearow,#0022,False,"Routes 225, 226, and 227, Stark Mountain","Routes 225, 226, and 227, Stark Mountain","Routes 225, 226, and 227, Stark Mountain","Routes 9, 10, 16, 17, 18, 22, 47, and 48 Safari Zone (Peak with 5 Forest points; Desert, default Night, with 6 Peak points Night, and with 3 Plains points; Wasteland, default Night)","Routes 9, 10, 16, 17, 18, 22, 47, and 48 Safari Zone (Peak with 5 Forest points; Desert, default Night, with 6 Peak points Night, and with 3 Plains points; Wasteland, default Night)",Field,
Ekans,#0023,False,Route 212 (Fire Red),Route 212 (Fire Red),Route 212 (Fire Red),"Goldenrod Game Corner Safari Zone Morning Day (tall grass in Marshland, default)","Routes 3, 4, 32, and 33 Safari Zone Morning Day (tall grass in Marshland, default)",Forest,
Arbok,#0024,False,Great Marsh (Fire Red),Great Marsh (Fire Red),Great Marsh (Fire Red),"Safari Zone Morning Day (tall grass in Marshland, default)","Routes 3, 4, 26, and 27 Safari Zone Morning Day (tall grass in Marshland, default)",Forest,
Pikachu,#0025,False,Trophy Garden,Trophy Garden,Trophy Garden,Viridian Forest Trade Pikachu in Saffron City,Viridian Forest Trade Pikachu in Saffron City,Forest,"Resort, Yellow Forest, Rally, and Sightseeing"
Raichu,#0026,False,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Forest,
Sandshrew,#0027,False,Wayward Cave (Leaf Green),Wayward Cave (Leaf Green),Wayward Cave (Leaf Green),"Union Cave, Mt. Moon Safari Zone (Desert, default)","Goldenrod Game Corner Safari Zone (Desert, default)",Mountain,
Sandslash,#0028,False,Route 228 (Leaf Green),Route 228 (Leaf Green),Route 228 (Leaf Green),"Routes 26 and 27, Mt. Moon Safari Zone (Desert, default)","Safari Zone (Desert, default)",Mountain,
Nidoran♀,#0029,False,Route 201 (Poké Radar),Route 201 (Poké Radar),Route 201 (Poké Radar),"Routes 35 and 36 Safari Zone Morning Day (Savannah, default)","Routes 35 and 36 Safari Zone Morning Day (Savannah, default)",Field,Refreshing Field
Nidorina,#0030,False,"Route 221, Valor Lakefront (Poké Radar)","Route 221, Valor Lakefront (Poké Radar)","Route 221, Valor Lakefront (Poké Radar)","Routes 13, 14, and 15 Safari Zone Night (Savannah, default)","Routes 13, 14, and 15 Safari Zone Night (Savannah, default)",Field,
Nidoqueen,#0031,False,Evolve Nidorina,Evolve Nidorina,Evolve Nidorina,Evolve Nidorina,Evolve Nidorina,Field,
Nidoran♂,#0032,False,Route 201 (Poké Radar),Route 201 (Poké Radar),Route 201 (Poké Radar),"Routes 35 and 36 Safari Zone Morning Day (Savannah, default)","Routes 35 and 36 Safari Zone Morning Day (Savannah, default)",Field,Refreshing Field
Nidorino,#0033,False,"Route 221, Valor Lakefront (Poké Radar)","Route 221, Valor Lakefront (Poké Radar)","Route 221, Valor Lakefront (Poké Radar)","Routes 13, 14, and 15 Safari Zone Night (Savannah, default)","Routes 13, 14, and 15 Safari Zone Night (Savannah, default)",Field,
Nidoking,#0034,False,Evolve Nidorino,Evolve Nidorino,Evolve Nidorino,Evolve Nidorino,Evolve Nidorino,Field,
Clefairy,#0035,False,"Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden",Mt. Moon Safari Zone Night (tall grass in Meadow - default and with 3 Peak points),Mt. Moon Safari Zone Night (tall grass in Meadow - default and with 3 Peak points),Mountain,"Resort, Night Sky's Edge"
Clefable,#0036,False,Evolve Clefairy,Evolve Clefairy,Evolve Clefairy,Evolve Clefairy,Evolve Clefairy,Mountain,
Vulpix,#0037,False,Routes 209 and 214 (Leaf Green),Routes 209 and 214 (Leaf Green),Routes 209 and 214 (Leaf Green),Trade,"Routes 7, 8, 36, 37, and 48",Field,
Ninetales,#0038,False,Evolve Vulpix,Evolve Vulpix,Evolve Vulpix,Trade,Evolve Vulpix,Field,
Jigglypuff,#0039,False,Trophy Garden,Trophy Garden,Trophy Garden,"Routes 3 and 4 Safari Zone (tall grass in Meadow, default; tall grass in Swamp, default Morning Day)","Routes 3 and 4 Safari Zone (tall grass in Meadow, default; tall grass in Swamp, default Morning Day)",Field,"Resort, Night Sky's Edge"
Wigglytuff,#0040,False,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Field,
Zubat,#0041,False,"Iron Island, Oreburgh Mine, Wayward Cave, Lost Tower (walking; all times) Routes 203, 204, 206, 207, 208, 209, 211, 216, and 217, Acuity Lakefront (tall grass) Night Ravaged Path, Oreburgh Gate, Mt. Coronet (Surfing and walking; all times)","Iron Island, Oreburgh Mine, Wayward Cave, Lost Tower (walking; all times) Routes 203, 204, 206, 207, 208, 209, 211, 216, and 217, Acuity Lakefront (tall grass) Night Ravaged Path, Oreburgh Gate, Mt. Coronet (Surfing and walking; all times)","Iron Island, Oreburgh Mine, Wayward Cave, Lost Tower (walking; all times) Routes 203, 204, 206, 207, 208, 209, 211, 214, 216 (tall grass) Night Ravaged Path, Oreburgh Gate, Mt. Coronet (Surfing and walking; all times)","Dark Cave, Union Cave, Slowpoke Well, Ilex Forest, Burned Tower, Mt. Mortar, Ice Path, Whirl Islands, Mt. Moon, Rock Tunnel, Seafoam Islands, Tohjo Falls (all times) Routes 3, 4, 32, and 33, 42, Cliff Cave Night Safari Zone Night (Mountain and Savannah, default; tall grass in Rocky Beach, default)","Dark Cave, Union Cave, Slowpoke Well, Ilex Forest, Burned Tower, Mt. Mortar, Ice Path, Whirl Islands, Mt. Moon, Rock Tunnel, Seafoam Islands, Tohjo Falls (all times) Routes 3, 4, 32, and 33, 42, Cliff Cave Night Safari Zone Night (Mountain and Savannah, default; tall grass in Rocky Beach, default)",Mountain,Dim Cave and Night Sky's Edge
Golbat,#0042,False,"Ravaged Path, Oreburgh Gate, Victory Road, Mt. Coronet (Surfing, all times) Stark Mountain, Mt. Coronet, Victory Road, Iron Island, Snowpoint Temple, Lost Tower, Turnback Cave (all times) Route 227 Night","Ravaged Path, Oreburgh Gate, Victory Road, Mt. Coronet (Surfing, all times) Stark Mountain, Mt. Coronet, Victory Road, Iron Island, Snowpoint Temple, Lost Tower, Turnback Cave (all times) Route 227 Night","Ravaged Path, Oreburgh Gate, Victory Road, Mt. Coronet (Surfing, all times) Stark Mountain, Oreburgh Gate, Mt. Coronet, Victory Road, Iron Island, Snowpoint Temple, Lost Tower, Turnback Cave (all times) Route 227, Sendoff Spring Night","Cliff Cave, Dark Cave, Ice Path, Mt. Mortar, Mt. Silver Cave, Slowpoke Well, Union Cave, Cerulean Cave, Seafoam Islands, Tohjo Falls, Whirl Islands, Victory Road Safari Zone Night (Mountain and Savannah, default)","Cliff Cave, Dark Cave, Ice Path, Mt. Mortar, Mt. Silver Cave, Slowpoke Well, Union Cave, Cerulean Cave, Seafoam Islands, Tohjo Falls, Whirl Islands, Victory Road Safari Zone Night (Mountain and Savannah, default)",Mountain,"Scary Cave, Quiet Cave"
Oddish,#0043,False,Routes 229 and 230,Routes 229 and 230,Routes 224 and 230Night,"Routes 5, 6, 24, and 25, Ilex Forest Night Safari Zone Night (tall grass in Marshland, default)","Routes 5, 6, 24, and 25, Ilex Forest Night Safari Zone Night (tall grass in Marshland, default)",Forest,Noisy Forest
Gloom,#0044,False,"Routes 224, 229, and 230","Routes 224, 229, and 230",Routes 224 and 230,"Route 5 Night Routes 47 and 48 Safari Zone (tall grass in Marshland, default Night and with 2 Plains points)","Route 5 Night Routes 47 and 48 Safari Zone (tall grass in Marshland, default Night and with 2 Plains points)",Forest,Treehouse
Vileplume,#0045,False,Evolve Gloom,Evolve Gloom,Evolve Gloom,Evolve Gloom,Evolve Gloom,Forest,
Paras,#0046,False,Great Marsh (After obtaining the National Pokédex),Great Marsh (After obtaining the National Pokédex),Great Marsh (After obtaining the National Pokédex),"National Park (Bug- Catching Contest) Tu Th Sa Ilex Forest, Mt. Moon Safari Zone (Peak with 3 Forest points; tall grass in Swamp, default Morning Day)","National Park (Bug- Catching Contest) Tu Th Sa Ilex Forest, Mt. Moon Safari Zone (Peak with 3 Forest points; tall grass in Swamp, default Morning Day)",Forest,Noisy Forest
Parasect,#0047,False,Evolve Paras,Evolve Paras,Evolve Paras,Cerulean Cave Safari Zone (tall grass in Swamp with 3 Plains points),Cerulean Cave Safari Zone (tall grass in Swamp with 3 Plains points),Forest,
Venonat,#0048,False,Route 229 (Poké Radar),Route 229 (Poké Radar),Route 229 (Poké Radar),"Routes 24, 25, and 43 National Park (Bug- Catching Contest) Tu Th Sa Route 43, Lake of Rage (Headbutt trees)","Routes 24, 25, and 43 National Park (Bug- Catching Contest) Tu Th Sa Route 43, Lake of Rage (Headbutt trees)",Forest,Noisy Forest
Venomoth,#0049,False,Route 229 (Poké Radar),Route 229 (Poké Radar),Route 229 (Poké Radar),Routes 24 and 25 Night,Routes 24 and 25 Night,Forest,
Diglett,#0050,False,Route 228,Route 228,Route 228,"Route 48, Diglett's Cave Safari Zone (tall grass in Marshland with 5 Peak points) Vermilion City (Rock Smash)","Route 48, Diglett's Cave Safari Zone (tall grass in Marshland with 5 Peak points) Vermilion City (Rock Smash)",Mountain,
Dugtrio,#0051,False,Route 228,Route 228,Route 228,Diglett's Cave,Diglett's Cave,Mountain,
Meowth,#0052,False,Trophy Garden,Trophy Garden,Trophy Garden,Trade,"Routes 5, 6, 7, 8, 38, and 39",Field,Sightseeing
Persian,#0053,False,Evolve Meowth,Evolve Meowth,Evolve Meowth,Trade,"Route 7, Cerulean Cave",Field,
Psyduck,#0054,False,"Routes 203, 204, 205, 209, 212, 214, Twinleaf Town, Eterna City, Lake Verity, Celestic Town (Surfing) Routes 208, 210, Lake Acuity, Lake Valor, Great Marsh, Oreburgh Gate, Ravaged Path (walking and Surfing)","Routes 203, 204, 205, 209, 212, 214, Twinleaf Town, Eterna City, Lake Verity, Celestic Town (Surfing) Routes 208, 210, Lake Acuity, Lake Valor, Great Marsh, Oreburgh Gate, Ravaged Path (walking and Surfing)","Routes 203, 204, 205, 208, 209, 210, 212, 214, 225, Twinleaf Town, Eterna City, Lake Verity, Resort Area, Celestic Town (Surfing) Oreburgh Gate, Ravaged Path, Lake Acuity, Lake Valor (walking and Surfing)","Routes 6 and 35, Ilex Forest, Seafoam Islands, Cerulean Cave Safari Zone (tall grass Night and Surfing in Wetland, default)","Routes 6 and 35, Ilex Forest, Seafoam Islands, Cerulean Cave Safari Zone (tall grass Night and Surfing in Wetland, default)",Pond,"Beautiful Beach, Stormy Beach"
Golduck,#0055,False,"Routes 203, 204, 205, 208, 209, 210, 212, 214, and 225, Twinleaf Town, Eterna City, Celestic Town, Ravaged Path, Oreburgh Gate, Lake Verity, Lake Acuity, Lake Valor, Sendoff Spring, Resort Area (Surfing) Routes 226 and 230, Great Marsh, Sendoff Spring (walking and Surfing)","Routes 203, 204, 205, 208, 209, 210, 212, 214, and 225, Twinleaf Town, Eterna City, Celestic Town, Ravaged Path, Oreburgh Gate, Lake Verity, Lake Acuity, Lake Valor, Sendoff Spring, Resort Area (Surfing) Routes 226 and 230, Great Marsh, Sendoff Spring (walking and Surfing)","Routes 203, 204, 205, 208, 209, 210, 212, 214, and 225, Twinleaf Town, Eterna City, Celestic Town, Ravaged Path, Oreburgh Gate, Lake Verity, Lake Acuity, Lake Valor, Sendoff Spring, Resort Area (Surfing) Lake Acuity, Lake Valor (walking and Surfing)","Routes 6 and 35, Ilex Forest, Cerulean Cave (Surfing) Mt. Silver Cave, Seafoam Islands Safari Zone (Wasteland with 3 Waterside points; tall grass in Wetland, default Night, and with 5 Peak points; Surfing in Wasteland with 4 Waterside points, and with 6 Waterside points)","Routes 6 and 35, Ilex Forest, Cerulean Cave (Surfing) Mt. Silver Cave, Seafoam Islands Safari Zone (Wasteland with 3 Waterside points; tall grass in Wetland, default Night, and with 5 Peak points; Surfing in Wasteland with 4 Waterside points, and with 6 Waterside points)",Pond,
Mankey,#0056,False,Routes 225 and 226 (Poké Radar),Routes 225 and 226 (Poké Radar),Routes 225 and 226 (Poké Radar),Routes 9 and 42,Trade,Mountain,
Primeape,#0057,False,Routes 225 and 226 (Poké Radar),Routes 225 and 226 (Poké Radar),Routes 225 and 226 (Poké Radar),"Route 9, Cerulean Cave",Trade,Mountain,
Growlithe,#0058,False,Routes 201 and 202 (Fire Red),Routes 201 and 202 (Fire Red),Routes 201 and 202 (Fire Red),"Routes 7, 8, 36, 37, and 48",Trade,Field,
Arcanine,#0059,False,Evolve Growlithe,Evolve Growlithe,Evolve Growlithe,Evolve Growlithe,Trade,Field,
Poliwag,#0060,False,Route 225 (Good Rod) Routes 227 and 228 (Surfing),Route 225 (Good Rod) Routes 227 and 228 (Surfing),Routes 227 and 228 (Surfing),"Routes 22, 28, 30, 31, and 44, Violet City, Ecruteak City, Viridian City, Mt. Silver (Surfing and fishing) Routes 6, 35, 43, and 45, Ruins of Alph, Ilex Forest, Blackthorn City (fishing) Cliff Edge Gate (Good Rod and Super Rod) Cerulean Cave (Old Rod and Good Rod) Mt. Moon Square (Surfing and fishing) Safari Zone (fishing in Meadow, default; Surfing in Marshland, default; Old Rod in Marshland - default, with 2 Waterside points, and with 3 Waterside points; Surfing in Rocky Beach, default; fishing and Surfing in Wetland, default)","Routes 22, 28, 30, 31, and 44, Violet City, Ecruteak City, Viridian City, Mt. Silver (Surfing and fishing) Routes 6, 35, 43, and 45, Ruins of Alph, Ilex Forest, Blackthorn City (fishing) Cliff Edge Gate (Good Rod and Super Rod) Cerulean Cave (Old Rod and Good Rod) Mt. Moon Square (Surfing and fishing) Safari Zone (fishing in Meadow, default; Surfing in Marshland, default; Old Rod in Marshland - default, with 2 Waterside points, and with 3 Waterside points; Surfing in Rocky Beach, default; fishing and Surfing in Wetland, default)",Pond,"Beautiful Beach, Blue Lake"
Poliwhirl,#0061,False,Route 225 (Super Rod) Routes 227 and 228 (Surfing),Route 225 (Super Rod) Routes 227 and 228 (Surfing),Routes 227 and 228 (Surfing),"Routes 22, 28, 30, 31, and 44, Ecruteak City, Mt. Silver, Violet City, Viridian City (Surfing) Cerulean Cave (Super Rod) Morning Day Safari Zone (Old Rod in Meadow and Wetland - default, with 2 Waterside points, and with 3 Waterside points; Good Rod in Meadow, default, and with 5 Waterside points; Good Rod in Wetland and Marshland, default; Super Rod in Meadow, Marshland and Wetland, default; Surfing in Rocky Beach, default)","Routes 22, 28, 30, 31, and 44, Ecruteak City, Mt. Silver, Violet City, Viridian City (Surfing) Cerulean Cave (Super Rod) Morning Day Safari Zone (Old Rod in Meadow and Wetland - default, with 2 Waterside points, and with 3 Waterside points; Good Rod in Meadow, default, and with 5 Waterside points; Good Rod in Wetland and Marshland, default; Super Rod in Meadow, Marshland and Wetland, default; Surfing in Rocky Beach, default)",Pond,Sightseeing
Poliwrath,#0062,False,Evolve Poliwhirl,Evolve Poliwhirl,Evolve Poliwhirl,Evolve Poliwhirl,Evolve Poliwhirl,Pond,
Abra,#0063,False,Routes 203 and 215 Trade Machop in Oreburgh City,Routes 203 and 215 Trade Machop in Oreburgh City,Routes 203 and 215 Trade Machop in Oreburgh City,"Routes 5, 6, 8, 24, 25, 34, and 35, Goldenrod Game Corner Safari Zone (Plains, default)","Routes 5, 6, 8, 24, 25, 34, and 35, Goldenrod Game Corner Safari Zone (Plains, default)",Field,Town Outskirts
Kadabra,#0064,False,"Route 215, Victory Road","Route 215, Victory Road",Route 215,"Route 8, Cerulean Cave","Route 8, Cerulean Cave",Field,
Alakazam,#0065,False,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Field,
Machop,#0066,False,"Routes 207, 208, and 210, Mt. Coronet","Routes 207, 208, and 210, Mt. Coronet","Routes 206, 207, 210, and 211, Mt. Coronet","Cliff Cave, Rock Tunnel, Mt. Mortar Safari Zone Morning Day (Wasteland, default) Trade Drowzee in Goldenrod Department Store","Cliff Cave, Rock Tunnel, Mt. Mortar Safari Zone Morning Day (Wasteland, default) Trade Drowzee in Goldenrod Department Store",Mountain,"Rugged Road, Dim Cave, and Scary Cave"
Machoke,#0067,False,"Routes 210, 211, 216, 217, 225, and 226, Stark Mountain, Mt. Coronet, Victory Road, Acuity Lakefront","Routes 210, 211, 216, 217, 225, and 226, Stark Mountain, Mt. Coronet, Victory Road, Acuity Lakefront","Routes 210, 211, 225, and 226, Mt. Coronet","Cliff Cave, Mt. Mortar, Cerulean Cave, Rock Tunnel Safari Zone (Wasteland, default Day, and with 5 Peak points)","Cliff Cave, Mt. Mortar, Cerulean Cave, Rock Tunnel Safari Zone (Wasteland, default Day, and with 5 Peak points)",Mountain,
Machamp,#0068,False,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Mountain,
Bellsprout,#0069,False,Routes 229 and 230,Routes 229 and 230,Routes 224 and 230,"Routes 5, 6, 24, 25, 31, 32, and 44 Safari Zone (Forest, default; Wasteland with 3 Forest points)","Routes 5, 6, 24, 25, 31, 32, and 44 Safari Zone (Forest, default; Wasteland with 3 Forest points)",Forest,Noisy Forest
Weepinbell,#0070,False,"Routes 224, 229, and 230","Routes 224, 229, and 230",Routes 224 and 230,"Routes 24, 25, and 44 Safari Zone (tall grass in Swamp with 8 Forest points)","Routes 24, 25, and 44 Safari Zone (tall grass in Swamp with 8 Forest points)",Forest,Treehouse
Victreebel,#0071,False,Evolve Weepinbell,Evolve Weepinbell,Evolve Weepinbell,Evolve Weepinbell,Evolve Weepinbell,Forest,
Tentacool,#0072,False,"Routes 205, 213, 218, 219, 220, 221, and 222, Canalave City, Pastoria City, Fuego Ironworks, Valley Windworks, Iron Island (Surfing)","Routes 205, 213, 218, 219, 220, 221, and 222, Canalave City, Pastoria City, Fuego Ironworks, Valley Windworks, Iron Island (Surfing)","Routes 205, 212, 213, 218, 219, 220, 221, and 222, Canalave City, Pastoria City, Sunyshore City, Fuego Ironworks, Valley Windworks, Iron Island (Surfing)","Routes 20, 21, 26, 27, 41, and 47, New Bark Town, Vermilion City, Cinnabar Island, Pallet Town (Surfing, Old/ Good Rod) Routes 19, 34, and 40, Cherrygrove City, Olivine City, Cianwood City, Union Cave*, Whirl Islands* (Surfing) Routes 13 and 32 (Surfing or Fishing) Route 12 (Fishing) Cianwood City (Gift for players who have only one party Pokémon and an empty P C)","Routes 20, 21, 26, 27, 41, and 47, New Bark Town, Vermilion City, Cinnabar Island, Pallet Town (Surfing, Old/ Good Rod) Routes 19, 34, and 40, Cherrygrove City, Olivine City, Cianwood City, Union Cave*, Whirl Islands* (Surfing) Routes 13 and 32 (Surfing or Fishing) Route 12 (Fishing) Cianwood City (Gift for players who have only one party Pokémon and an empty P C)",Sea,Blue Lake
Tentacruel,#0073,False,"Routes 205, 213, 218, 219, 220, 221, 222, 223, 224, 226, and 230, Pastoria City, Canalave City, Sunyshore City, Valley Windworks, Fuego Ironworks, Iron Island, Pokémon League (Surfing)","Routes 205, 213, 218, 219, 220, 221, 222, 223, 224, 226, and 230, Pastoria City, Canalave City, Sunyshore City, Valley Windworks, Fuego Ironworks, Iron Island, Pokémon League (Surfing)","Routes 205, 212, 213, 218, 219, 220, 221, 222, 223, 224, 226, and 230, Pastoria City, Canalave City, Sunyshore City, Valley Windworks, Fuego Ironworks, Iron Island, Pokémon League (Surfing)","Routes 20, 21, 26, 27, and 41, New Bark Town, Vermilion City, Cinnabar Island, Pallet Town (Surfing and Super Rod) Routes 12, 13, 19, 32, 34, and 40, Cherrygrove City, Union Cave*, Whirl Islands*, Olivine City, Cianwood City (Surfing) Route 47 (Super Rod)","Routes 20, 21, 26, 27, and 41, New Bark Town, Vermilion City, Cinnabar Island, Pallet Town (Surfing and Super Rod) Routes 12, 13, 19, 32, 34, and 40, Cherrygrove City, Union Cave*, Whirl Islands*, Olivine City, Cianwood City (Surfing) Route 47 (Super Rod)",Sea,
Geodude,#0074,False,"Routes 206, 207, 210, 211, 214, and 215, Oreburgh Gate, Ruin Maniac Cave, Oreburgh Mine, Iron Island, Mt. Coronet, Maniac Tunnel, Ravaged Path, Stark Mountain, Valor Lakefront, Wayward Cave","Routes 206, 207, 210, 211, 214, and 215, Oreburgh Gate, Ruin Maniac Cave, Oreburgh Mine, Iron Island, Mt. Coronet, Maniac Tunnel, Ravaged Path, Stark Mountain, Valor Lakefront, Wayward Cave","Routes 206, 207, 210, and 214, Oreburgh Gate, Ruin Maniac Cave, Oreburgh Mine, Iron Island, Mt. Coronet, Maniac Tunnel, Wayward Cave","Routes 45 and 46, Union Cave, Dark Cave, Ruins of Alph, Mt. Mortar, Cliff Cave, Victory Road, Rock Tunnel, Mt. Moon, Cerulean Cave Safari Zone (Peak, default; Meadow with 3 Peak points) Team Rocket H Q (Five; trap floor)","Routes 45 and 46, Union Cave, Dark Cave, Ruins of Alph, Mt. Mortar, Cliff Cave, Victory Road, Rock Tunnel, Mt. Moon, Cerulean Cave Safari Zone (Peak, default; Meadow with 3 Peak points) Team Rocket H Q (Five; trap floor)",Mountain,"Rugged Road, Volcano Path, and Night Sky's Edge"
Graveler,#0075,False,"Routes 211, 214, 216, and 227, Valor Lakefront, Iron Island, Mt. Coronet, Victory Road, Stark Mountain, Snowpoint Temple","Routes 211, 214, 216, and 227, Valor Lakefront, Iron Island, Mt. Coronet, Victory Road, Stark Mountain, Snowpoint Temple","Routes 211, 214, 216, 225, 226, and 227, Iron Island, Mt. Coronet, Sendoff Spring, Victory Road, Stark Mountain","Route 45, Cliff Cave, Victory Road, Dark Cave, Mt. Mortar, Mt. Silver Cave, Cerulean Cave Safari Zone Morning Day (Peak, default)","Route 45, Cliff Cave, Victory Road, Dark Cave, Mt. Mortar, Mt. Silver Cave, Cerulean Cave Safari Zone Morning Day (Peak, default)",Mountain,
Golem,#0076,False,Evolve Graveler,Evolve Graveler,Evolve Graveler,Evolve Graveler,Evolve Graveler,Mountain,
