Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Nidoking,#0034,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed (Wanderer) Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Nidorino,Evolve Nidorino,Unobtainable,,
Clefairy,#0035,False,"Giant's Cap, Motostoke Riverbank Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Giant's Cap, Motostoke Riverbank Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Giant's Bed, Snowslide Slope, Tunnel to the Top Fields of Honor, Soothing Wetlands, Forest of Focus, Insular Sea, Frostpoint Field, Snowslide Slope, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)","Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden","Cobalt Coastlands: massive mass outbreaks Coronet Highlands: Fabled Spring Night, massive mass outbreaks",,
Clefable,#0036,False,"Motostoke Riverbank (Wanderer) Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Motostoke Riverbank (Wanderer) Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Giant's Bed, Snowslide Slope, Tunnel to the Top (Wanderer) Fields of Honor, Soothing Wetlands, Forest of Focus, Insular Sea, Frostpoint Field, Snowslide Slope, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Clefairy,Evolve Clefairy,"Coronet Highlands: Fabled Spring Night , massive mass outbreaks",,
Vulpix,#0037,False,"Motostoke Stadium* (Kantonian Form) Route 3, Rolling Fields, Dappled Grove, Watchtower Ruins, East Lake Axewell, West Lake Axewell, Axew's Eye, South Lake Miloch, Giant's Seat, North Lake Miloch (Kantonian Form) Stony Wilderness, Giant's Cap, Dusty Bowl, Hammerlocke Hills, Lake of Outrage (Max Raid Battle) (Kantonian Form) Trade (Alolan Form)","Motostoke Stadium* (Kantonian Form) Dusty Bowl, Hammerlocke Hills (Kantonian Form) Trade (Alolan Form)",Reward for finding at least 20 Alolan Diglett (Alolan Form),Trade (Kantonian Form) Unobtainable (Alolan Form),"Grand Underground - Spacious Cave, Volcanic Cave, Sandsear Cave, Typhlo Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)","Cobalt Coastlands: Veilstone Cape, massive mass outbreaks (Kantonian Form) Alabaster Icelands: massive mass outbreaks (Kantonian Form) Alabaster Icelands: Whiteout Valley (only one during Request 83) (Alolan Form)",,
Ninetales,#0038,False,"Lake of Outrage (Kantonian Form) Dusty Bowl, Giant's Cap, Hammerlocke Hills, Lake of Outrage, Stony Wilderness (Max Raid Battle) (Kantonian Form) Trade (Alolan Form)",Giant's Cap (Max Raid Battle) (Kantonian Form) Trade (Alolan Form),,Trade (Kantonian Form) Unobtainable (Alolan Form),Evolve Vulpix (Kantonian Form) Unobtainable (Alolan Form),"Cobalt Coastlands: Firespit Island , massive mass outbreaks (Kantonian Form) Alabaster Icelands: massive mass outbreaks (Kantonian Form) Evolve Alolan Vulpix (Alolan Form)","Fields of Honor, Challenge Beach, Loop Lagoon, Potbottom Desert, Snowslide Slope, Giant's Bed, Ballimere Lake (Max Raid Battle) (Kantonian Form) Evolve Vulpix (Alolan Form)",
Jigglypuff,#0039,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Challenge Beach Fields of Honor, Soothing Wetlands, Forest of Focus, Stepping- Stone Sea, Insular Sea (Max Raid Battle) Max Lair (Dynamax Adventure)",Trophy Garden,Trophy Garden,Unobtainable,,
Wigglytuff,#0040,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Soothing Wetlands, Loop Lagoon, Training Lowlands (Wanderer) Fields of Honor, Soothing Wetlands, Forest of Focus, Stepping- Stone Sea, Insular Sea (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Jigglypuff,Evolve Jigglypuff,Unobtainable,,
Zubat,#0041,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Tunnel to the Top, Roaring- Sea Caves, Lakeside Cave Frostpoint Field, Dyna Tree Hill, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)","Iron Island, Oreburgh Mine, Wayward Cave, Lost Tower (walking; all times) Routes 203, 204, 206, 207, 208, 209, 211, 216, and 217, Acuity Lakefront (tall grass) Night Ravaged Path, Oreburgh Gate, Mt. Coronet (Surfing and walking; all times) Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern","Iron Island, Oreburgh Mine, Wayward Cave, Lost Tower (walking; all times) Routes 203, 204, 206, 207, 208, 209, 211, 216, and 217, Acuity Lakefront (tall grass) Night Ravaged Path, Oreburgh Gate, Mt. Coronet (Surfing and walking; all times) Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern","Obsidian Fieldlands: Worn Bridge Night, Deertrack Path Night, Deertrack Heights Night, Windswept Run Night, Nature's Pantry Night, Tidewater Dam Night, The Heartwood Night, Oreburrow Tunnel Night, near Obsidian Falls Night, massive mass outbreaks Crimson Mirelands: Cloudpool Ridge Night, near Diamond Settlement Night, Diamond Heath Night, Bolderoll Slope Night Coronet Highlands: Heavenward Lookout Night, Wayward Wood Night, Wayward Cave, near Ancient Quarry Night Alabaster Icelands: Snowpoint Temple",,
Golbat,#0042,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Tunnel to the Top, Roaring- Sea Caves (Wanderer) Frostpoint Field, Dyna Tree Hill, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)","Ravaged Path, Oreburgh Gate, Victory Road, Mt. Coronet (Surfing, all times) Stark Mountain, Mt. Coronet, Victory Road, Iron Island, Snowpoint Temple, Lost Tower, Turnback Cave (all times) Route 227 Night Grand Underground - Grassland Cave, Spacious Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern (After obtaining T M96 (Strength))","Ravaged Path, Oreburgh Gate, Victory Road, Mt. Coronet (Surfing, all times) Stark Mountain, Mt. Coronet, Victory Road, Iron Island, Snowpoint Temple, Lost Tower, Turnback Cave (all times) Route 227 Night Grand Underground - Grassland Cave, Spacious Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern (After obtaining T M96 (Strength))","Obsidian Fieldlands: Deertrack Heights Night, Windswept Run Night, Nature's Pantry Night, Tidewater Dam Night, The Heartwood Night, Oreburrow Tunnel Night and nearby (additional Day Night), near Obsidian Falls Night, massive mass outbreaks Crimson Mirelands: Cloudpool Ridge Night, near Diamond Settlement Night, Diamond Heath Night, Bolderoll Slope Night Coronet Highlands: Heavenward Lookout Night, Wayward Wood Night, Wayward Cave, near Ancient Quarry Night Alabaster Icelands: Snowpoint Temple",,
Oddish,#0043,False,"Dappled Grove, Rolling Fields, East Lake Axewell, Watchtower Ruins Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)","Dappled Grove, Rolling Fields, East Lake Axewell, Watchtower Ruins Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)",,"Routes 229 and 230Grand Underground - Grassland Cave, Swampy Cave, Spacious Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Routes 229 and 230Grand Underground - Grassland Cave, Swampy Cave, Spacious Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Gloom,#0044,False,"Axew's Eye, North Lake Miloch, Giant's Mirror, Giant's Cap Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank (Max Raid Battle)","Axew's Eye, North Lake Miloch, Giant's Mirror, Giant's Cap Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank (Max Raid Battle)",Max Lair (Dynamax Adventure),"Routes 224, 229, and 230, Grand Underground - Grassland Cave, Swampy Cave, Spacious Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Routes 224, 229, and 230, Grand Underground - Grassland Cave, Swampy Cave, Spacious Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Vileplume,#0045,False,"Dappled Grove, Giant's Mirror, Hammerlocke Hills (Wanderer) Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)","Dappled Grove, Giant's Mirror, Hammerlocke Hills (Wanderer) Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch (Max Raid Battle)",Max Lair (Dynamax Adventure),Evolve Gloom,Evolve Gloom,Unobtainable,,
Paras,#0046,False,Unobtainable,Unobtainable,,"Great Marsh (After obtaining the National Pokédex) Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Great Marsh (After obtaining the National Pokédex) Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Bogsunk Cavern (After obtaining the National Pokédex)","Obsidian Fieldlands: Nature's Pantry, massive mass outbreaks Crimson Mirelands: Golden Lowlands, near Ursa's Ring, near Cloudpool Ridge, Diamond Heath, near Cottonsedge Prairie, Droning Meadow, massive mass outbreaks Cobalt Coastlands: near Windbreak Stand Coronet Highlands: Heavenward Lookout, Wayward Wood",,
Parasect,#0047,False,Unobtainable,Unobtainable,,Evolve Paras,Evolve Paras,"Obsidian Fieldlands: near Nature's Pantry  (also mass outbreaks), massive mass outbreaks Crimson Mirelands: Golden Lowlands, near Ursa's Ring, near Cloudpool Ridge, Diamond Heath, near Cottonsedge Prairie, Droning Meadow, massive mass outbreaks Cobalt Coastlands: Windbreak Stand Coronet Highlands: Heavenward Lookout, Wayward Wood",,
Venonat,#0048,False,Unobtainable,Unobtainable,,"Route 229 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 229 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Venomoth,#0049,False,Unobtainable,Unobtainable,,"Route 229 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 229 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Diglett,#0050,False,"Route 4, Galar Mine, Rolling Fields, Giant's Mirror (Kantonian Form) Bridge Field, Rolling Fields (Max Raid Battle) (Kantonian Form) Trade (Alolan Form)","Route 4, Galar Mine, Rolling Fields, Giant's Mirror (Kantonian Form) Bridge Field, Rolling Fields (Max Raid Battle) (Kantonian Form) Trade (Alolan Form)",Reward for finding 150 Alolan Diglett (Alolan Form),Route 228 (Kantonian Form) Unobtainable (Alolan Form),Route 228 (Kantonian Form) Unobtainable (Alolan Form),Unobtainable,,
Dugtrio,#0051,False,"Route 6, Giant's Mirror, Giant's Cap, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Kantonian Form) Bridge Field, Rolling Fields (Max Raid Battle) (Kantonian From) Trade (Alolan Form)","Route 6, Giant's Mirror, Giant's Cap, Dusty Bowl, Lake of Outrage, Hammerlocke Hills (Kantonian Form) Bridge Field, Rolling Fields (Max Raid Battle) (Kantonian From) Trade (Alolan Form)",Max Lair (Dynamax Adventure) (Kantonian/ Alolan Forms),Route 228 (Kantonian Form) Unobtainable (Alolan Form),Route 228 (Kantonian Form) Unobtainable (Alolan Form),Unobtainable,,
Meowth,#0052,False,"Trade Galarian Meowth at Turffield Stadium (Kantonian Form) Event (Gigantamax Factor) (Kantonian Form) Trade Version 1.2.0+ (Alolan Form) Route 4 (Galarian Form) Dusty Bowl, Giant's Seat, Stony Wilderness (Max Raid Battle) (Galarian Form","Trade Galarian Meowth at Turffield Stadium (Kantonian Form) Event (Gigantamax Factor) (Kantonian Form) Trade Version 1.2.0+ (Alolan Form) Route 4 (Galarian Form) Dusty Bowl, Giant's Seat, Stony Wilderness (Max Raid Battle) (Galarian Form","Trade Galarian Meowth with Regina on Isle of Armor (Kantonian Form) Reward for finding at least 5 Alolan Diglett (Alolan Form) Brawlers' Cave, Courageous Cavern, Stepping- Stone Sea, Snowslide Slope, Path to the Peak, Giant's Bed, Frigid Sea (Max Raid Battle) (Galarian Form)",Trophy Garden (Kantonian Form) Unobtainable (Alolan/ Galarian Forms),Trophy Garden (Kantonian Form) Unobtainable (Alolan/ Galarian Forms),Unobtainable,,
Persian,#0053,False,Evolve Meowth (Kantonian Form) Trade (Alolan Form),Evolve Meowth (Kantonian Form) Trade (Alolan Form),Max Lair (Dynamax Adventure) (Kantonian/ Alolan Forms),Evolve Meowth (Kantonian Form) Unobtainable (Alolan Form),Evolve Meowth (Kantonian Form) Unobtainable (Alolan Form),Unobtainable,,
Psyduck,#0054,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Challenge Beach, Brawlers' Cave Soothing Wetlands, Forest of Focus, Challenge Beach, Courageous Cavern (Max Raid Battle)","Routes 203, 204, 205, 209, 212, 214, Twinleaf Town, Eterna City, Lake Verity, Celestic Town (Surfing) Routes 208, 210, Lake Acuity, Lake Valor, Great Marsh, Oreburgh Gate, Ravaged Path (walking and Surfing) Grand Underground - Spacious Cave, Fountainspring Cave, Riverbank Cave, Still- Water Cavern","Routes 203, 204, 205, 209, 212, 214, Twinleaf Town, Eterna City, Lake Verity, Celestic Town (Surfing) Routes 208, 210, Lake Acuity, Lake Valor, Great Marsh, Oreburgh Gate, Ravaged Path (walking and Surfing) Grand Underground - Spacious Cave, Fountainspring Cave, Riverbank Cave, Still- Water Cavern","Obsidian Fieldlands: The Heartwood Crimson Mirelands: Golden Lowlands, Gapejaw Bog, Holm of Trials, massive mass outbreaks Cobalt Coastlands: Bathers' Lagoon, massive mass outbreaks Coronet Highlands: Wayward Wood, Lonely Spring",,
