Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Metapod,#0011,False,"Routes 1 and 5, Lush Jungle, Melemele Meadow","Routes 1 and 5, Lush Jungle, Melemele Meadow","Route 5, Lush Jungle, Melemele Meadow","Route 5, Lush Jungle, Melemele Meadow",Viridian Forest,Viridian Forest
Butterfree,#0012,False,"Route 5, Melemele Meadow Route 5, Lush Jungle, Melemele Meadow (SOS Battle)","Route 5, Melemele Meadow Route 5, Lush Jungle, Melemele Meadow (SOS Battle)","Route 5, Melemele Meadow Route 5, Lush Jungle, Melemele Meadow (SOS Battle)","Route 5, Melemele Meadow Route 5, Lush Jungle, Melemele Meadow (SOS Battle)",Viridian Forest,Evolve Metapod
Weedle,#0013,False,Trade,Trade,Breed Beedrill,Breed Beedrill,"Route 2, Viridian Forest","Route 2, Viridian Forest"
Kakuna,#0014,False,Trade,Trade,Evolve Weedle,Evolve Weedle,Viridian Forest,Viridian Forest
Beedrill,#0015,False,Trade,Trade,Route 4 (Island Scan) Th,Route 4 (Island Scan) Th,Evolve Kakuna,Viridian Forest
Pidgey,#0016,False,Trade,Trade,Breed Pidgeot,Breed Pidgeot,"Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16,  17, 18, 19, 20, 21, 24, and 25, Viridian Forest","Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16,  17, 18, 19, 20, 21, 24, and 25, Viridian Forest"
Pidgeotto,#0017,False,Trade,Trade,Evolve Pidgey,Evolve Pidgey,"Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25","Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25"
Pidgeot,#0018,False,Trade,Trade,Route 10 (Island Scan) Th,Route 10 (Island Scan) Th,"Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25","Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25"
Rattata,#0019,False,"Routes 1, 2, 3, 4, 6, 8, Hau'oli City, Kala'e Bay Night (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 1, 2, 3, 4, 6, 8, Hau'oli City, Kala'e Bay Night (Alolan Form) Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 1, 2, 4, 6, 8, Kala'e Bay Night (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 1, 2, 4, 6, 8, Kala'e Bay Night (Alolan Form) Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, and 22, Pokémon Mansion (Kantonian Form) Trade Kantonian Rattata in Cerulean City (Alolan Form)","Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, and 22, Pokémon Mansion (Kantonian Form) Trade Kantonian Rattata in Cerulean City (Alolan Form)"
Raticate,#0020,False,"Routes 10, 11, 15, 16, 17, Akala Outskirts, Ancient Poni Path, Malie City, Poni Gauntlet, Poni Grove, Poni Plains, Poni Wilds, Tapu Village Night (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 10, 11, 15, 16, 17, Akala Outskirts, Ancient Poni Path, Malie City, Poni Gauntlet, Poni Grove, Poni Plains, Poni Wilds, Tapu Village Night (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 10, 15, 16, 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni Plains Night (Alolan Form) Route 8 Night (SOS Battle) (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 10, 15, 16, 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni Plains Night (Alolan Form) Route 8 Night (SOS Battle) (Alolan Form) Received from Samson Oak at Heahea Beach* (Totem-sized; Alolan Form) Pokémon Bank (Kantonian Form)","Routes 7, 8, 9, 10, 11, 16,  17, 18 and  21, Pokémon Mansion (Kantonian Form) Evolve Rattata (Alolan Form)","Routes 7, 8, 9, 10, 11, 16,  17, 18 and  21, Pokémon Mansion (Kantonian Form) Evolve Rattata (Alolan Form)"
Spearow,#0021,False,"Routes 2 and 3, Poké Pelago","Routes 2 and 3, Poké Pelago",Routes 2 and 3,Routes 2 and 3,"Routes 3, 4, 9, 10, 22, and 23","Routes 3, 4, 9, 10, 22, and 23"
Fearow,#0022,False,"Routes 10 and 17, Mount Hokulani, Poni Plains","Routes 10 and 17, Mount Hokulani, Poni Plains","Routes 10 and 17, Mount Hokulani, Poni Plains","Routes 10 and 17, Mount Hokulani, Poni Plains","Routes 3, 4, 9, 10, 22, and 23","Routes 3, 4, 9, 10, 22, and 23"
Ekans,#0023,False,Trade,Trade,Route 2,Route 2,Trade,Routes 3 and 4
Arbok,#0024,False,Trade,Trade,Evolve Ekans Trade Trumbeak on Route 8,Evolve Ekans Trade Trumbeak on Route 8,Trade,Evolve Ekans
Pikachu,#0025,False,"Route 1, Hau'oli City (SOS Battle)","Route 1, Hau'oli City (SOS Battle)","Route 1 (SOS Battle) Heahea City (Surf Association, Only one) Pikachu Valley (Q R Scanner) (Partner Cap Pikachu)","Route 1 (SOS Battle) Heahea City (Surf Association, Only one) Pikachu Valley (Q R Scanner) (Partner Cap Pikachu)",Viridian Forest (Pikachu) First Pokémon from Professor Oak in Pallet Town (Partner Pikachu),Viridian Forest
Raichu,#0026,False,Trade (Kantonian Form) Evolve Pikachu (Alolan Form),Trade (Kantonian Form) Evolve Pikachu (Alolan Form),Evolve Pikachu in Ultra Space (Kantonian Form) Evolve Pikachu (Alolan Form),Evolve Pikachu in Ultra Space (Kantonian Form) Evolve Pikachu (Alolan Form),Evolve Pikachu (Kantonian Form) Trade Kantonian Raichu in Saffron City (Alolan Form),Evolve Pikachu (Kantonian Form) Trade Kantonian Raichu in Saffron City (Alolan Form)
Sandshrew,#0027,False,"Trade, Pokémon Bank","Mount Lanakila, Tapu Village (Alolan Form) Pokémon Bank (Kantonian Form)","Trade, Pokémon Bank","Mount Lanakila, Tapu Village (Alolan Form) Pokémon Bank (Kantonian Form)",Routes 3 and 4 (Kantonian Form) Trade Kantonian Sandshrew in Celadon City (Alolan Form),Trade
Sandslash,#0028,False,"Trade, Pokémon Bank",Evolve Sandshrew (Alolan Form) Pokémon Bank (Kantonian Form),"Trade, Pokémon Bank",Evolve Sandshrew (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Sandshrew (Kantonian/ Alolan Forms),Trade
Nidoran♀,#0029,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 9, 10, 22 and 23","Routes 9, 10, 22 and 23"
Nidorina,#0030,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 9, 10, and 23","Routes 9, 10, and 23"
Nidoqueen,#0031,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Route 23,Route 23
Nidoran♂,#0032,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 9, 10, 22 and 23","Routes 9, 10, 22 and 23"
Nidorino,#0033,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 9, 10 and 23","Routes 9, 10 and 23"
Nidoking,#0034,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Route 23,Route 23
Clefairy,#0035,False,Mount Hokulani Night (SOS Battle),Mount Hokulani Night (SOS Battle),Mount Hokulani Night (SOS Battle),Mount Hokulani Night (SOS Battle),Mt. Moon,Mt. Moon
Clefable,#0036,False,Evolve Clefairy,Evolve Clefairy,Evolve Clefairy,Evolve Clefairy,Mt. Moon,Mt. Moon
Vulpix,#0037,False,"Tapu Village, Mount Lanakila (Alolan Form) Pokémon Bank (Kantonian Form)","Trade, Pokémon Bank","Tapu Village, Mount Lanakila (Alolan Form) Pokémon Bank (Kantonian Form)","Trade, Pokémon Bank",Trade,"Routes 5, 6, 7 and 8 (Kantonian Form) Trade Kantonian Vulpix in Celadon City (Alolan Form)"
Ninetales,#0038,False,Evolve Vulpix (Alolan Form) Pokémon Bank (Kantonian Form),"Trade, Pokémon Bank",Evolve Vulpix (Alolan Form) Pokémon Bank (Kantonian Form),"Trade, Pokémon Bank",Trade,Routes 7 and 8 (Kantonian Form) Evolve Vulpix (Alolan Form)
Jigglypuff,#0039,False,Routes 4 and 6 Day (SOS Battle),Routes 4 and 6 Day (SOS Battle),Routes 4 and 6 Day (SOS Battle),Routes 4 and 6 Day (SOS Battle),"Routes 5, 6, 7 and 8","Routes 5, 6, 7 and 8"
Wigglytuff,#0040,False,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff
Zubat,#0041,False,"Diglett's Tunnel, Hau'oli Cemetery, Lush Jungle (Cave), Memorial Hill, Verdant Cavern, Poké Pelago Ten Carat Hill, Seaward Cave (Surfing and walking)","Diglett's Tunnel, Hau'oli Cemetery, Lush Jungle (Cave), Memorial Hill, Verdant Cavern, Poké Pelago Ten Carat Hill, Seaward Cave (Surfing and walking)","Diglett's Tunnel, Hau'oli Cemetery, Memorial Hill, Verdant Cavern, Poké Pelago Ten Carat Hill, Seaward Cave, Sandy Cave (Surfing and walking)","Diglett's Tunnel, Hau'oli Cemetery, Memorial Hill, Verdant Cavern, Poké Pelago Ten Carat Hill, Seaward Cave, Sandy Cave (Surfing and walking)","Mt. Moon, Diglett's Cave, Rock Tunnel, Pokémon Tower, Seafoam Islands, Victory Road, Cerulean Cave","Mt. Moon, Diglett's Cave, Rock Tunnel, Pokémon Tower, Seafoam Islands, Victory Road, Cerulean Cave"
Golbat,#0042,False,"Thrifty Megamart (Abandoned Site), Mount Lanakila, Vast Poni Canyon, Resolution Cave","Thrifty Megamart (Abandoned Site), Mount Lanakila, Vast Poni Canyon, Resolution Cave","Thrifty Megamart (Abandoned Site), Mount Lanakila, Vast Poni Canyon, Resolution Cave Lush Jungle (Cave), Diglett's Tunnel, Memorial Hill (SOS Battle)","Thrifty Megamart (Abandoned Site), Mount Lanakila, Vast Poni Canyon, Resolution Cave Lush Jungle (Cave), Diglett's Tunnel, Memorial Hill (SOS Battle)","Rock Tunnel, Pokémon Tower, Seafoam Islands, Victory Road, Cerulean Cave","Rock Tunnel, Pokémon Tower, Seafoam Islands, Victory Road, Cerulean Cave"
Oddish,#0043,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 1, 2, 12, 13, 14, 15, 21, 24, and 25, Viridian Forest",Trade
Gloom,#0044,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 12, 13, 14, 15 and 21",Trade
Vileplume,#0045,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Route 21,Trade
Paras,#0046,False,"Route 11, Brooklet Hill, Lush Jungle Day","Route 11, Brooklet Hill, Lush Jungle Day","Brooklet Hill, Lush Jungle Day","Brooklet Hill, Lush Jungle Day",Mt. Moon,Mt. Moon
Parasect,#0047,False,Evolve Paras,Evolve Paras,Route 11 Day,Route 11 Day,Evolve Paras,Evolve Paras
Venonat,#0048,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 14, 15, 24 and 25","Routes 14, 15, 24 and 25"
Venomoth,#0049,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Routes 14 and 15,Routes 14 and 15
Diglett,#0050,False,"Routes 5 and 7, Diglett's Tunnel, Lush Jungle (Cave), Seaward Cave, Ten Carat Hill, Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 5 and 7, Diglett's Tunnel, Lush Jungle (Cave), Seaward Cave, Ten Carat Hill, Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 5 and 7, Diglett's Tunnel, Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 5 and 7, Diglett's Tunnel, Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)",Diglett's Cave (Kantonian Form) Trade Kantonian Diglett in Lavender Town (Alolan Form),Diglett's Cave (Kantonian Form) Trade Kantonian Diglett in Lavender Town (Alolan Form)
Dugtrio,#0051,False,"Haina Desert, Poni Coast, Resolution Cave, Vast Poni Canyon (Alolan Form) Pokémon Bank (Kantonian Form)","Haina Desert, Poni Coast, Resolution Cave, Vast Poni Canyon (Alolan Form) Pokémon Bank (Kantonian Form)","Haina Desert, Poni Coast, Resolution Cave, Vast Poni Canyon, Lush Jungle (Cave) (Alolan Form) Pokémon Bank (Kantonian Form)","Haina Desert, Poni Coast, Resolution Cave, Vast Poni Canyon, Lush Jungle (Cave) (Alolan Form) Pokémon Bank (Kantonian Form)",Diglett's Cave (Kantonian Form) Evolve Diglett (Alolan Form),Diglett's Cave (Kantonian Form) Evolve Diglett (Alolan Form)
Meowth,#0052,False,"Route 2, Trainers' School, Hau'oli City, Malie Garden (Alolan Form) Pokémon Bank (Kantonian Form)","Route 2, Trainers' School, Hau'oli City, Malie Garden (Alolan Form) Pokémon Bank (Kantonian Form)","Route 2, Trainers' School, Hau'oli City, Malie Garden (Alolan Form) Pokémon Bank (Kantonian Form)","Route 2, Trainers' School, Hau'oli City, Malie Garden (Alolan Form) Pokémon Bank (Kantonian Form)",Trade,Routes 24 and 25 (Kantonian Form) Trade Kantonian Meowth on Cinnabar Island (Alolan Form)
Persian,#0053,False,Evolve Meowth (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Meowth (Alolan Form) Pokémon Bank (Kantonian Form),Malie Garden (SOS Battle) (Alolan Form) Pokémon Bank (Kantonian Form),Malie Garden (SOS Battle) (Alolan Form) Pokémon Bank (Kantonian Form),Vermilion City (Only one) (Kantonian Form) Trade (Alolan Form),Evolve Meowth (Kantonian/ Alolan Forms)
Psyduck,#0054,False,"Malie Garden Brooklet Hill, Seaward Cave, Ten Carat Hill (walking and Surfing)","Malie Garden Brooklet Hill, Seaward Cave, Ten Carat Hill (walking and Surfing)","Malie Garden Brooklet Hill, Seaward Cave, Ten Carat Hill, Sandy Cave (walking and Surfing)","Malie Garden Brooklet Hill, Seaward Cave, Ten Carat Hill, Sandy Cave (walking and Surfing)","Routes 4, 6, 17, 24, 25 and Cerulean Cave","Routes 4, 6, 17, 24, 25 and Cerulean Cave"
Golduck,#0055,False,Poni Gauntlet Vast Poni Canyon (Surfing),Poni Gauntlet Vast Poni Canyon (Surfing),Poni Gauntlet Vast Poni Canyon (Surfing),Poni Gauntlet Vast Poni Canyon (Surfing),Cerulean Cave,Cerulean Cave
Mankey,#0056,False,Route 3,Route 3,Route 3,Route 3,Routes 3 and 4,Trade
Primeape,#0057,False,Poni Plains,Poni Plains,Poni Plains,Poni Plains,Evolve Mankey,Trade
Growlithe,#0058,False,Route 2,Route 2,Route 2,Route 2,"Routes 5, 6, 7 and 8",Trade
Arcanine,#0059,False,Evolve Growlithe,Evolve Growlithe,Evolve Growlithe,Evolve Growlithe,Routes 7 and 8,Vermilion City (Only one)
Poliwag,#0060,False,"Brooklet Hill (walking and Surfing) Malie Garden, Poké Pelago*","Brooklet Hill (walking and Surfing) Malie Garden, Poké Pelago*",Brooklet Hill (walking and Surfing),Brooklet Hill (walking and Surfing),"Routes 22, 23 and 25, Cerulean Cave (Sea Skim)","Routes 22, 23 and 25, Cerulean Cave (Sea Skim)"
Poliwhirl,#0061,False,Trade Zubat in Konikoni City Malie Garden (SOS Battle in rain),Trade Zubat in Konikoni City Malie Garden (SOS Battle in rain),Malie Garden,Malie Garden,"Routes 22, 23 and 25, Cerulean Cave (Sea Skim)","Routes 22, 23 and 25, Cerulean Cave (Sea Skim)"
Poliwrath,#0062,False,Malie Garden (SOS Battle in rain) Day,Malie Garden (SOS Battle in rain) Day,Malie Garden (SOS Battle in rain) Day,Malie Garden (SOS Battle in rain) Day,Cerulean Cave (Sea Skim),Cerulean Cave (Sea Skim)
Abra,#0063,False,"Route 2, Hau'oli City","Route 2, Hau'oli City","Route 2, Hau'oli City","Route 2, Hau'oli City","Routes 5, 6, 7 and 8","Routes 5, 6, 7 and 8"
Kadabra,#0064,False,Poké Pelago,Poké Pelago,Evolve Abra,Evolve Abra,Routes 7 and 8,Routes 7 and 8
Alakazam,#0065,False,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra
Machop,#0066,False,Ten Carat Hill Trade Spearow at Route 2,Ten Carat Hill Trade Spearow at Route 2,Ten Carat Hill,Ten Carat Hill,"Rock Tunnel, Victory Road","Rock Tunnel, Victory Road"
Machoke,#0067,False,Vast Poni Canyon,Vast Poni Canyon,Vast Poni Canyon,Vast Poni Canyon,Victory Road,Victory Road
Machamp,#0068,False,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke
Bellsprout,#0069,False,Route 5 (Island Scan) Fr,Route 5 (Island Scan) Fr,Trade,Trade,Trade,"Routes 1, 2, 12, 13, 14, 15, 21, 24 and 25, Viridian Forest"
Weepinbell,#0070,False,Evolve Bellsprout,Evolve Bellsprout,Trade,Trade,Trade,"Routes 12, 13, 14, 15 and 21"
Victreebel,#0071,False,Evolve Weepinbell,Evolve Weepinbell,Trade,Trade,Trade,Route 21
Tentacool,#0072,False,"Routes 1, 7, 8, 14, 15, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach, Secluded Shore (Surfing)","Routes 1, 7, 8, 14, 15, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach, Secluded Shore (Surfing)","Routes 1, 7, 8, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach (Surfing)","Routes 1, 7, 8, Hau'oli City, Melemele Sea, Kala'e Bay, Brooklet Hill, Hano Beach (Surfing)","Routes 4, 10, 12, 13, 18, 19, 20, 21 and 24, Seafoam Islands (Sea Skim)","Routes 4, 10, 12, 13, 18, 19, 20, 21 and 24, Seafoam Islands (Sea Skim)"
Tentacruel,#0073,False,Poni Wilds (Surfing),Poni Wilds (Surfing),"Routes 14 and 15, Poni Breaker Coast (Surfing)","Routes 14 and 15, Poni Breaker Coast (Surfing)","Routes 4, 10, 12, 13, 18, 19, 20, 21 and 24, Seafoam Islands (Sea Skim)","Routes 4, 10, 12, 13, 18, 19, 20, 21 and 24, Seafoam Islands (Sea Skim)"
Geodude,#0074,False,"Route 12, Blush Mountain (Alolan Form) Pokémon Bank (Kantonian Form)","Route 12, Blush Mountain (Alolan Form) Pokémon Bank (Kantonian Form)",Breed Graveler or Golem (Alolan Form) Pokémon Bank (Kantonian Form),Breed Graveler or Golem (Alolan Form) Pokémon Bank (Kantonian Form),"Mt. Moon, Rock Tunnel, Victory Road, Cerulean Cave (Kantonian Form) Trade Kantonian Geodude in Vermilion City (Alolan Form)","Mt. Moon, Rock Tunnel, Victory Road, Cerulean Cave (Kantonian Form) Trade Kantonian Geodude in Vermilion City (Alolan Form)"
Graveler,#0075,False,Route 17 (Alolan Form) Trade Haunter in Tapu Village* (Alolan Form) Pokémon Bank (Kantonian Form),Route 17 (Alolan Form) Trade Haunter in Tapu Village* (Alolan Form) Pokémon Bank (Kantonian Form),"Routes 12 and 17, Blush Mountain (Alolan Form) Pokémon Bank (Kantonian Form)","Routes 12 and 17, Blush Mountain (Alolan Form) Pokémon Bank (Kantonian Form)","Rock Tunnel, Victory Road, Cerulean Cave (Kantonian Form) Evolve Geodude (Alolan Form)","Rock Tunnel, Victory Road, Cerulean Cave (Kantonian Form) Evolve Geodude (Alolan Form)"
Golem,#0076,False,Trade Haunter for Graveler in Tapu Village* (Alolan Form) Pokémon Bank (Kantonian Form),Trade Haunter for Graveler in Tapu Village* (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Graveler (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Graveler (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Graveler,Evolve Graveler
Ponyta,#0077,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Route 17,Route 17
Rapidash,#0078,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Route 17,Route 17
Slowpoke,#0079,False,"Routes 1, 15, 16, Kala'e Bay","Routes 1, 15, 16, Kala'e Bay","Routes 1, 15, 16, Kala'e Bay, Poké Pelago","Routes 1, 15, 16, Kala'e Bay, Poké Pelago",Seafoam Islands,Seafoam Islands
Slowbro,#0080,False,Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Seafoam Islands,Seafoam Islands
Magnemite,#0081,False,"Trainers' School, Hau'oli City, Malie City, Poké Pelago","Trainers' School, Hau'oli City, Malie City, Poké Pelago","Trainers' School, Hau'oli City, Malie City","Trainers' School, Hau'oli City, Malie City",Power Plant,Power Plant
Magneton,#0082,False,Evolve Magnemite,Evolve Magnemite,Evolve Magnemite,Evolve Magnemite,Power Plant,Power Plant
Farfetch'd,#0083,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Routes 12 and 13,Routes 12 and 13
Doduo,#0084,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 16, 17, and 18","Routes 16, 17, and 18"
Dodrio,#0085,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 16, 17 and 18","Routes 16, 17 and 18"
Seel,#0086,False,Trade,Trade,Seaward Cave (Surfing) Poké Pelago,Seaward Cave (Surfing) Poké Pelago,Seafoam Islands,Seafoam Islands
Dewgong,#0087,False,Trade,Trade,Evolve Seel,Evolve Seel,Seafoam Islands,Seafoam Islands
Grimer,#0088,False,"Trainers' School, Hau'oli City, Malie City (Alolan Form) Pokémon Bank (Kantonian Form)","Trainers' School, Hau'oli City, Malie City (Alolan Form) Pokémon Bank (Kantonian Form)","Trainers' School, Hau'oli City, Malie City (Alolan Form) Pokémon Bank (Kantonian Form)","Trainers' School, Hau'oli City, Malie City (Alolan Form) Pokémon Bank (Kantonian Form)","Pokémon Mansion, Power Plant (Kantonian Form) Trade Kantonian Grimer in Cinnabar Island (Alolan Form)",Trade
Muk,#0089,False,Evolve Grimer (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Grimer (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Grimer (Alolan Form) Pokémon Bank (Kantonian Form),Evolve Grimer (Alolan Form) Pokémon Bank (Kantonian Form),"Pokémon Mansion, Power Plant (Kantonian Form) Evolve Grimer (Alolan Form)",Trade
Shellder,#0090,False,"Kala'e Bay (fishing), Poké Pelago","Kala'e Bay (fishing), Poké Pelago",Kala'e Bay (fishing),Kala'e Bay (fishing),Seafoam Islands (Sea Skim),Seafoam Islands (Sea Skim)
Cloyster,#0091,False,Evolve Shellder,Evolve Shellder,Evolve Shellder,Evolve Shellder,Seafoam Islands (Sea Skim),Seafoam Islands (Sea Skim)
Gastly,#0092,False,"Hau'oli Cemetery, Memorial Hill, Poké Pelago","Hau'oli Cemetery, Memorial Hill, Poké Pelago","Hau'oli Cemetery, Memorial Hill Trainers' School Night (One)","Hau'oli Cemetery, Memorial Hill Trainers' School Night (One)",Pokémon Tower,Pokémon Tower
Haunter,#0093,False,Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site),Thrifty Megamart (Abandoned Site),Pokémon Tower,Pokémon Tower
Gengar,#0094,False,Thrifty Megamart (Abandoned Site) (SOS Battle),Thrifty Megamart (Abandoned Site) (SOS Battle),Thrifty Megamart (Abandoned Site) (SOS Battle),Thrifty Megamart (Abandoned Site) (SOS Battle),Evolve Haunter,Evolve Haunter
Onix,#0095,False,Trade,Trade,Ten Carat Hill (Island Scan) Tu,Ten Carat Hill (Island Scan) Tu,"Mt. Moon, Rock Tunnel, Victory Road","Mt. Moon, Rock Tunnel, Victory Road"
Drowzee,#0096,False,Route 2,Route 2,Route 2,Route 2,Route 11,Route 11
Hypno,#0097,False,Poni Plains,Poni Plains,Poni Plains Hau'oli City (One),Poni Plains Hau'oli City (One),Evolve Drowzee,Evolve Drowzee
Krabby,#0098,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,"Routes 10, 12 and 13","Routes 10, 12 and 13"
Kingler,#0099,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Routes 12 and 13,Routes 12 and 13
Voltorb,#0100,False,Trade,Trade,Breed Electrode,Breed Electrode,Power Plant,Power Plant
Electrode,#0101,False,Trade,Trade,Team Rocket's Castle (Three),Team Rocket's Castle (Three),Power Plant (Four),Power Plant (Four)
Exeggcute,#0102,False,"Ancient Poni Path, Exeggutor Island, Poni Wilds","Ancient Poni Path, Exeggutor Island, Poni Wilds",Exeggutor Island,Exeggutor Island,Route 23,Route 23
Exeggutor,#0103,False,Trade (Kantonian Form) Exeggutor Island (Alolan Form),Trade (Kantonian Form) Exeggutor Island (Alolan Form),Evolve Exeggcute in Ultra Space (Kantonian Form) Exeggutor Island (Alolan Form),Evolve Exeggcute in Ultra Space (Kantonian Form) Exeggutor Island (Alolan Form),Route 23 (Kantonian Form) Trade Kantonian Exeggutor at the Pokémon League (Alolan Form),Route 23 (Kantonian Form) Trade Kantonian Exeggutor at the Pokémon League (Alolan Form)
Cubone,#0104,False,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,"Rock Tunnel, Pokémon Tower","Rock Tunnel, Pokémon Tower"
