Pokemon,No.,Caught?,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Colosseum,XD
Kakuna,#0014,False,Trade,Trade,Trade,"Routes 24 and 25, Viridian Forest, Pattern Bush","Routes 24 and 25, Viridian Forest, Pattern Bush",Trade,Trade
Beedrill,#0015,False,Trade,Trade,Trade,Evolve Kakuna,Evolve Kakuna,Trade,Cipher Key Lair (Shadow)
Pidgey,#0016,False,Trade,Trade,Trade,"Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 24, and 25, Bond Bridge, Berry Forest, Five Isle Meadow","Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 24, and 25, Bond Bridge, Berry Forest, Five Isle Meadow",Trade,Trade
Pidgeotto,#0017,False,Trade,Trade,Trade,"Routes 13, 14, and 15, Bond Bridge, Berry Forest, Five Isle Meadow","Routes 13, 14, and 15, Bond Bridge, Berry Forest, Five Isle Meadow",Trade,Cipher Key Lair (Shadow)
Pidgeot,#0018,False,Trade,Trade,Trade,Evolve Pidgeotto,Evolve Pidgeotto,Trade,Evolve Pidgeotto
Rattata,#0019,False,Trade,Trade,Trade,"Routes 1, 2, 4, 9, 16, 17, 18, and 22, Pokémon Mansion","Routes 1, 2, 4, 9, 16, 17, 18, and 22, Pokémon Mansion",Trade,Trade
Raticate,#0020,False,Trade,Trade,Trade,"Routes 16, 17, and 18, Pokémon Mansion","Routes 16, 17, and 18, Pokémon Mansion",Trade,Citadark Isle (Shadow)
Spearow,#0021,False,Trade,Trade,Trade,"Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23, Treasure Beach, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Kindle Road","Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23, Treasure Beach, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Kindle Road",Trade,Phenac Stadium (Shadow)
Fearow,#0022,False,Trade,Trade,Trade,"Routes 17, 18, and 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Sevault Canyon","Routes 17, 18, and 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Sevault Canyon",Trade,Evolve Spearow
Ekans,#0023,False,"Trade, Event","Trade, Event","Trade, Event","Routes 4, 8, 9, 10, 11, and 23","Trade, Event",Trade,Trade
Arbok,#0024,False,Trade,Trade,Trade,Route 23 and Victory Road,Trade,Trade,Cipher Key Lair (Shadow)
Pikachu,#0025,False,Safari Zone,Safari Zone,Safari Zone,"Viridian Forest, Power Plant","Viridian Forest, Power Plant",Pokémon Colosseum Bonus Disc (J P),Trade
Raichu,#0026,False,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Evolve Pikachu,Trade,Trade
Sandshrew,#0027,False,Routes 111 and 113,Routes 111 and 113,"Route 111, Mirage Tower","Trade, Event","Routes 4, 8, 9, 10, 11, and 23",Trade,Rock Poké Spot
Sandslash,#0028,False,Evolve Sandshrew,Evolve Sandshrew,Evolve Sandshrew,Trade,Route 23 and Victory Road,Trade,Evolve Sandshrew
Nidoran♀,#0029,False,Trade,Trade,Trade,"Route 3, Safari Zone Trade Nidoran♂ in Underground Path (Kanto Routes 5–6)","Route 3, Safari Zone",Trade,Trade
Nidorina,#0030,False,Trade,Trade,Trade,Safari Zone Trade Nidorino on Route 11,Safari Zone,Trade,Trade
Nidoqueen,#0031,False,Trade,Trade,Trade,Evolve Nidorina,Evolve Nidorina,Trade,Trade
Nidoran♂,#0032,False,Trade,Trade,Trade,"Route 3, Safari Zone","Route 3, Safari Zone Trade Nidoran♀ in Underground Path (Kanto Routes 5–6)",Trade,Trade
Nidorino,#0033,False,Trade,Trade,Trade,Safari Zone,Safari Zone Trade Nidorina on Route 11,Trade,Trade
Nidoking,#0034,False,Trade,Trade,Trade,Evolve Nidorino,Evolve Nidorino,Trade,Trade
Clefairy,#0035,False,Trade,Trade,Trade,"Mt. Moon, Celadon City (Rocket Game Corner)","Mt. Moon, Celadon City (Rocket Game Corner)",Trade,Trade
Clefable,#0036,False,Trade,Trade,Trade,Evolve Clefairy,Evolve Clefairy,Trade,Trade
Vulpix,#0037,False,Mt. Pyre exterior,Mt. Pyre exterior,Mt. Pyre exterior,"Trade, Event","Routes 7 and 8, Pokémon Mansion",Trade,ON B S (Shadow)
Ninetales,#0038,False,Evolve Vulpix,Evolve Vulpix,Evolve Vulpix,Trade,Evolve Vulpix,Trade,Evolve Vulpix
Jigglypuff,#0039,False,Route 115,Route 115,Route 115,Route 3,Route 3,Trade,Trade
Wigglytuff,#0040,False,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Evolve Jigglypuff,Trade,Trade
Zubat,#0041,False,"Cave of Origin, Granite Cave, Victory Road (walking) Meteor Falls, Seafloor Cavern, Shoal Cave (Surfing and walking)","Cave of Origin, Granite Cave, Victory Road (walking) Meteor Falls, Seafloor Cavern, Shoal Cave (Surfing and walking)","Altering Cave, Cave of Origin, Granite Cave, Victory Road (walking) Meteor Falls, Seafloor Cavern, Shoal Cave (Surfing and walking)","Mt. Moon, Rock Tunnel, Seafoam Islands, Victory Road, Icefall Cave, Lost Cave, Altering Cave","Mt. Moon, Rock Tunnel, Seafoam Islands, Victory Road, Icefall Cave, Lost Cave, Altering Cave",Trade,Cave Poké Spot
Golbat,#0042,False,"Cave of Origin, Shoal Cave, Sky Pillar Meteor Falls, Seafloor Cavern, Victory Road (Surfing and walking)","Cave of Origin, Shoal Cave, Sky Pillar Meteor Falls, Seafloor Cavern, Victory Road (Surfing and walking)","Cave of Origin, Shoal Cave, Sky Pillar Meteor Falls, Seafloor Cavern, Victory Road (Surfing and walking)","Cerulean Cave, Icefall Cave, Lost Cave, Seafoam Islands, Victory Road","Cerulean Cave, Icefall Cave, Lost Cave, Seafoam Islands, Victory Road",Trade,Evolve Zubat
Oddish,#0043,False,"Routes 110, 117, 119, 120, 121, and 123, Safari Zone","Routes 110, 117, 119, 120, 121, and 123, Safari Zone","Routes 110, 117, 119, 120, 121, and 123, Safari Zone","Routes 5, 6, 7, 12, 13, 14, 15, 24, and 25, Berry Forest, Bond Bridge, Cape Brink, Water Path","Trade, Event",Trade,Trade
Gloom,#0044,False,"Routes 121 and 123, Safari Zone","Routes 121 and 123, Safari Zone","Routes 121 and 123, Safari Zone","Routes 12, 13, 14, and 15, Berry Forest, Bond Bridge, Cape Brink, Water Path",Trade,Trade,Trade
Vileplume,#0045,False,Evolve Gloom,Evolve Gloom,Evolve Gloom,Evolve Gloom,Trade,Trade,Trade
Paras,#0046,False,Trade,Trade,Trade,"Mt. Moon, Safari Zone","Mt. Moon, Safari Zone",Trade,Cipher Key Lair (Shadow)
Parasect,#0047,False,Trade,Trade,Trade,"Safari Zone, Cerulean Cave","Safari Zone, Cerulean Cave",Trade,Evolve Paras
Venonat,#0048,False,Trade,Trade,Trade,"Routes 12, 13, 14, and 15, Berry Forest, Bond Bridge, Safari Zone","Routes 12, 13, 14, and 15, Berry Forest, Bond Bridge, Safari Zone",Trade,Trade
Venomoth,#0049,False,Trade,Trade,Trade,"Safari Zone, Berry Forest","Safari Zone, Berry Forest",Trade,Cipher Key Lair (Shadow)
Diglett,#0050,False,Trade,Trade,Trade,Diglett's Cave,Diglett's Cave,Trade,Trade
Dugtrio,#0051,False,Trade,Trade,Trade,Diglett's Cave,Diglett's Cave,Trade,Citadark Isle (Shadow)
Meowth,#0052,False,"Trade, Event","Trade, Event",Trade Skitty at the Battle Frontier,"Routes 5, 6, 7, and 8, Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Sevault Canyon, Treasure Beach, Water Path","Routes 5, 6, 7, and 8, Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Sevault Canyon, Treasure Beach, Water Path",Trade,Prestige Precept Center (Shadow)
Persian,#0053,False,Trade,Trade,Evolve Meowth,"Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Sevault Canyon, Treasure Beach, Water Path","Bond Bridge, Canyon Entrance, Cape Brink, Five Isle Meadow, Kindle Road, Ruin Valley, Sevault Canyon, Treasure Beach, Water Path",Trade,Evolve Meowth
Psyduck,#0054,False,Safari Zone,Safari Zone,Safari Zone,"Celadon City (Surfing) Routes 4, 10, 11, 12, 13, 19, 20, 21, 24, Water Labyrinth, Resort Gorgeous, Memorial Pillar, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Vermilion City, Cinnabar Island, One Island, Five Island, Trainer Tower (Super Rod) Routes 6, 22, 23, 25, Viridian City, Fuchsia City, Four Island, Cerulean Cave, Safari Zone (Surfing and Super Rod) Treasure Beach, Kindle Road, Bond Bridge, Five Isle Meadow, Ruin Valley, Water Path (walking and Super Rod) Cape Brink, Berry Forest , Seafoam Islands, Icefall Cave (walking, Surfing, and Super Rod) Canyon Entrance","Trade, Event",Trade,Trade
Golduck,#0055,False,Safari Zone (Surfing),Safari Zone (Surfing),Safari Zone (Surfing),"Cerulean Cave, Seafoam Islands, Berry Forest, Cape Brink (Surfing) Seafoam Islands, Cape Brink",Trade,Trade,Citadark Isle (Shadow)
Mankey,#0056,False,Trade,Trade,Trade,"Routes 3, 4, 22, and 23, Rock Tunnel","Routes 3, 4, 22, and 23, Rock Tunnel",Trade,Trade
Primeape,#0057,False,Trade,Trade,Trade,"Route 23, Cerulean Cave, Victory Road","Route 23, Cerulean Cave, Victory Road",Trade,Cipher Key Lair (Shadow)
Growlithe,#0058,False,"Trade, Event","Trade, Event","Trade, Event","Routes 7 and 8, Pokémon Mansion",Trade,Trade,Cipher Key Lair (Shadow)
Arcanine,#0059,False,Trade,Trade,Trade,Evolve Growlithe,Trade,Trade,Evolve Growlithe
Poliwag,#0060,False,Trade,Trade,Trade,"Fuchsia City, Berry Forest, Safari Zone (Good Rod) Routes 6, 22, 23, and 25, Four Island, Viridian City, Cape Brink, Cerulean Cave, Icefall Cave, Ruin Valley (Good Rod and Super Rod)","Fuchsia City, Berry Forest, Safari Zone (Good Rod) Routes 6, 22, 23, and 25, Four Island, Viridian City, Cape Brink, Cerulean Cave, Icefall Cave, Ruin Valley (Good Rod and Super Rod)",Trade,Trade
Poliwhirl,#0061,False,Trade,Trade,Trade,"Routes 6, 22, 23, and 25, Four Island, Viridian City, Cape Brink, Cerulean Cave, Icefall Cave, Ruin Valley (Super Rod)","Routes 6, 22, 23, and 25, Four Island, Viridian City, Cape Brink, Cerulean Cave, Icefall Cave, Ruin Valley (Super Rod)",Trade,Trade
Poliwrath,#0062,False,Trade,Trade,Trade,Evolve Poliwhirl,Evolve Poliwhirl,Trade,Citadark Isle (Shadow)
Abra,#0063,False,Granite Cave,Granite Cave,"Route 116, Granite Cave","Routes 24 and 25, Celadon City (Rocket Game Corner)","Routes 24 and 25, Celadon City (Rocket Game Corner)",Trade,Trade
Kadabra,#0064,False,Evolve Abra,Evolve Abra,Evolve Abra,Cerulean Cave,Cerulean Cave,Trade,Trade
Alakazam,#0065,False,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Evolve Kadabra,Trade,Trade
Machop,#0066,False,"Route 112, Fiery Path, Jagged Pass","Route 112, Fiery Path, Jagged Pass","Fiery Path, Jagged Pass","Mt. Ember, Rock Tunnel, Victory Road","Mt. Ember, Rock Tunnel, Victory Road",Trade,Trade
Machoke,#0067,False,Evolve Machop,Evolve Machop,Evolve Machop,"Cerulean Cave, Mt. Ember, Victory Road","Cerulean Cave, Mt. Ember, Victory Road",Trade,Trade
Machamp,#0068,False,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Evolve Machoke,Trade,Trade
Bellsprout,#0069,False,"Trade, Event","Trade, Event","Trade, Event","Trade, Event","Routes 5, 6, 7, 12, 13, 14, 15, 24, and 25, Berry Forest, Bond Bridge, Cape Brink, Water Path",Trade,Trade
Weepinbell,#0070,False,Trade,Trade,Trade,Trade,"Routes 12, 13, 14, and 15, Berry Forest, Bond Bridge, Cape Brink, Water Path",Trade,Cipher Key Lair (Shadow)
Victreebel,#0071,False,Trade,Trade,Trade,Trade,Evolve Weepinbell,Trade,Evolve Weepinbell
Tentacool,#0072,False,"Route 128, Ever Grande City (Surfing, Old Rod) Sootopolis City (Old Rod) Abandoned Ship (Surfing or Fishing) Routes 103, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Slateport City, Pacifidlog Town, Mossdeep City, Lilycove City, Dewford Town, Shoal Cave, Seafloor Cavern (Surfing, Old/ Good Rod)","Route 128, Ever Grande City (Surfing, Old Rod) Sootopolis City (Old Rod) Abandoned Ship (Surfing or Fishing) Routes 103, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Slateport City, Pacifidlog Town, Mossdeep City, Lilycove City, Dewford Town, Shoal Cave, Seafloor Cavern (Surfing, Old/ Good Rod)","Route 128, Ever Grande City (Surfing, Old Rod) Sootopolis City (Old Rod) Abandoned Ship (Surfing or Fishing) Routes 103, 105, 106, 107, 108, 109, 110, 115, 118, 119, 121, 122, 123, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Slateport City, Pacifidlog Town, Mossdeep City, Lilycove City, Dewford Town, Shoal Cave, Seafloor Cavern (Surfing, Old/ Good Rod)","Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Treasure Beach, Kindle Road, Bond Bridge, Five Isle Meadow, Memorial Pillar, Water Labyrinth, Resort Gorgeous, Water Path, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Vermilion City, One Island, Five Island, Icefall Cave, Trainer Tower, Cinnabar Island (Surfing)","Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Treasure Beach, Kindle Road, Bond Bridge, Five Isle Meadow, Memorial Pillar, Water Labyrinth, Resort Gorgeous, Water Path, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Vermilion City, One Island, Five Island, Icefall Cave, Trainer Tower, Cinnabar Island (Surfing)",Trade,Trade
Tentacruel,#0073,False,Abandoned Ship (surfing and Super Rod),Abandoned Ship (surfing and Super Rod),Abandoned Ship (Surfing and Super Rod),"Treasure Beach, Kindle Road, Bond Bridge, Five Isle Meadow, Memorial Pillar, Water Labyrinth, Resort Gorgeous, Water Path, Green Path, Outcast Island, Tanoby Ruins, One Island, Five Island, Icefall Cave, Trainer Tower (Surfing)","Treasure Beach, Kindle Road, Bond Bridge, Five Isle Meadow, Memorial Pillar, Water Labyrinth, Resort Gorgeous, Water Path, Green Path, Outcast Island, Tanoby Ruins, One Island, Five Island, Icefall Cave, Trainer Tower (Surfing)",Trade,Trade
Geodude,#0074,False,"Routes 111 and 114, Victory Road, Safari Zone (Rock Smash) Granite Cave (walking and Rock Smash)","Routes 111 and 114, Victory Road, Safari Zone (Rock Smash) Granite Cave (walking and Rock Smash)","Routes 111 and 114, Victory Road, Safari Zone (Rock Smash) Granite Cave (walking and Rock Smash) Magma Hideout (walking)","Victory Road, Mt. Moon (walking) Kindle Road, Sevault Canyon, Rock Tunnel, Cerulean Cave, Mt. Ember (Tall grass and Rock Smash)","Victory Road, Mt. Moon (walking) Kindle Road, Sevault Canyon, Rock Tunnel, Cerulean Cave, Mt. Ember (Tall grass and Rock Smash)",Trade,Trade
Graveler,#0075,False,Victory Road (Rock Smash),Victory Road (Rock Smash),Magma Hideout (walking) Victory Road (Rock Smash),"Kindle Road, Sevault Canyon, Rock Tunnel, Mt. Ember, Cerulean Cave (Rock Smash)","Kindle Road, Sevault Canyon, Rock Tunnel, Mt. Ember, Cerulean Cave (Rock Smash)",Trade,Trade
Golem,#0076,False,Evolve Graveler,Evolve Graveler,Evolve Graveler,Evolve Graveler,Evolve Graveler,Trade,Trade
Ponyta,#0077,False,Trade,Trade,Trade,Kindle Road and Mt. Ember,Kindle Road and Mt. Ember,Trade,Trade
Rapidash,#0078,False,Trade,Trade,Trade,"Kindle Road, Mt. Ember","Kindle Road, Mt. Ember",Trade,Citadark Isle (Shadow)
Slowpoke,#0079,False,Trade,Trade,Trade,Trade,"Celadon City (surfing) Routes 4, 10, 11, 12, 13, 19, 20, 21, 24, Water Labyrinth, Resort Gorgeous, Memorial Pillar, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Vermilion City, Cinnabar Island, One Island, Five Island, Trainer Tower (Super Rod) Routes 6, 22, 23, 25, Viridian City, Fuchsia City, Four Island, Cerulean Cave, Safari Zone (surfing and Super Rod) Treasure Beach, Kindle Road, Bond Bridge, Five Isle Meadow, Ruin Valley, Water Path (tall grass and Super Rod) Cape Brink, Berry Forest (tall grass, surfing, and Super Rod) Seafoam Islands, Icefall Cave (walking, surfing, and Super Rod) Canyon Entrance (tall grass)",Trade,Trade
Slowbro,#0080,False,Trade,Trade,Trade,Trade,Cerulean Cave and Berry Forest (surfing) Seafoam Islands and Cape Brink (tall grass/walking and surfing) Cinnabar Island (Super Rod),Trade,Trade
Magnemite,#0081,False,New Mauville,New Mauville,New Mauville,Power Plant,Power Plant,Trade,Trade
Magneton,#0082,False,New Mauville,New Mauville,New Mauville,"Power Plant, Cerulean Cave","Power Plant, Cerulean Cave",Trade,Cipher Key Lair (Shadow)
Farfetch'd,#0083,False,Trade,Trade,Trade,Trade Spearow in Vermilion City,Trade Spearow in Vermilion City,Trade,Citadark Isle (Shadow)
Doduo,#0084,False,Safari Zone,Safari Zone,Safari Zone,"Routes 16, 17, and 18, Safari Zone","Routes 16, 17, and 18, Safari Zone",Trade,Trade
Dodrio,#0085,False,Safari Zone,Safari Zone,Safari Zone,Evolve Doduo,Evolve Doduo,Trade,Citadark Isle (Shadow)
Seel,#0086,False,Trade,Trade,Trade,"Seafoam Islands, Icefall Cave Trade Ponyta at the Pokémon Lab on Cinnabar Island","Seafoam Islands, Icefall Cave Trade Ponyta at the Pokémon Lab on Cinnabar Island",Trade,Phenac Stadium (Shadow)
Dewgong,#0087,False,Trade,Trade,Trade,Seafoam Islands and Icefall Cave,Seafoam Islands and Icefall Cave,Trade,Evolve Seel
Grimer,#0088,False,Fiery Path,Fiery Path,Fiery Path,Pokémon Mansion Celadon City (Super Rod),Pokémon Mansion Celadon City (Super Rod),Trade,Phenac Stadium (Shadow)
Muk,#0089,False,Evolve Grimer,Evolve Grimer,Evolve Grimer,Evolve Grimer,Pokémon Mansion,Trade,Evolve Grimer
Shellder,#0090,False,Trade,Trade,Trade,"Pallet Town, Cinnabar Island, Vermilion City, One Island, Five Island, Icefall Cave (Super Rod)",Trade,Trade,Cipher Key Lair (Shadow)
Cloyster,#0091,False,Trade,Trade,Trade,Evolve Shellder,Trade,Trade,Evolve Shellder
Gastly,#0092,False,Trade,Trade,Trade,"Pokémon Tower, Lost Cave","Pokémon Tower, Lost Cave",Trade,Trade
Haunter,#0093,False,Trade,Trade,Trade,"Pokémon Tower, Lost Cave","Pokémon Tower, Lost Cave",Trade,Trade
Gengar,#0094,False,Trade,Trade,Trade,Evolve Haunter,Evolve Haunter,Trade,Trade
Onix,#0095,False,Trade,Trade,Trade,"Rock Tunnel, Victory Road, Sevault Canyon","Rock Tunnel, Victory Road, Sevault Canyon",Trade,Trade
Drowzee,#0096,False,Trade,Trade,Trade,"Route 11, Berry Forest","Route 11, Berry Forest",Trade,Trade
Hypno,#0097,False,Trade,Trade,Trade,"Berry Forest (tall grass, event)","Berry Forest (tall grass, event)",Trade,Cipher Key Lair (Shadow)
Krabby,#0098,False,Trade,Trade,Trade,"Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Cerulean City, Vermilion City, Seafoam Islands, Cinnabar Island, Pallet Town (Good Rod)","Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Cerulean City, Vermilion City, Seafoam Islands, Treasure Beach, Kindle Road, Bond Bridge, Resort Gorgeous, Water Labyrinth, Water Path, Green Path, Outcast Island, Tanoby Ruins, Five Isle Meadow, Memorial Pillar, One Island, Five Island, Icefall Cave, Trainer Tower, Cinnabar Island, Pallet Town (Good Rod and Super Rod) Seafoam Islands (Surfing)",Trade,Trade
Kingler,#0099,False,Trade,Trade,Trade,Evolve Krabby,"Routes 19, 20, and 21, Kindle Road, Treasure Beach, Bond Bridge, Resort Gorgeous, Water Labyrinth, Five Isle Meadow, Memorial Pillar, Green Path, Water Path, Outcast Island, Trainer Tower, Tanoby Ruins, One Island, Five Island, Icefall Cave, Pallet Town (Super Rod)",Trade,Trade
Voltorb,#0100,False,New Mauville,New Mauville,New Mauville,"Route 10, Power Plant","Route 10, Power Plant",Trade,Cave Poké Spot (Shadow)
Electrode,#0101,False,New Mauville Team Magma Hideout (Two),New Mauville Team Aqua Hideout (Two),New Mauville Team Aqua Hideout (Two),Power Plant (Two) Cerulean Cave Trade Raichu at the Pokémon Lab on Cinnabar Island,Power Plant (Two) Cerulean Cave Trade Raichu at the Pokémon Lab on Cinnabar Island,Trade,Evolve Voltorb
Exeggcute,#0102,False,Trade,Trade,Trade,"Safari Zone, Berry Forest","Safari Zone, Berry Forest",Trade,Trade
Exeggutor,#0103,False,Trade,Trade,Trade,Evolve Exeggcute,Evolve Exeggcute,Trade,Citadark Isle (Shadow)
Cubone,#0104,False,Trade,Trade,Trade,Pokémon Tower and Sevault Canyon,Pokémon Tower and Sevault Canyon,Trade,Trade
Marowak,#0105,False,Trade,Trade,Trade,Victory Road and Sevault Canyon,Victory Road and Sevault Canyon,Trade,Citadark Isle (Shadow)
Hitmonlee,#0106,False,Trade,Trade,Trade,Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonchan),Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonchan),Trade,Citadark Isle (Shadow)
Hitmonchan,#0107,False,Trade,Trade,Trade,Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonlee),Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonlee),Trade,Citadark Isle (Shadow)
Lickitung,#0108,False,Trade,Trade,Trade,Trade Golduck on Route 18,Trade Slowbro on Route 18,Trade,Citadark Isle (Shadow)
Koffing,#0109,False,Fiery Path,Fiery Path,Fiery Path,Pokémon Mansion Celadon City (surfing),Pokémon Mansion Celadon City (surfing),Trade,Trade
Weezing,#0110,False,Evolve Koffing,Evolve Koffing,Evolve Koffing,Pokémon Mansion,Evolve Koffing,Trade,Trade
Rhyhorn,#0111,False,Safari Zone,Safari Zone,Safari Zone,Safari Zone,Safari Zone,Trade,Trade
Rhydon,#0112,False,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Trade,Citadark Isle (Shadow)
Chansey,#0113,False,Trade,Trade,Trade,Safari Zone,Safari Zone,Trade,Citadark Isle (Shadow)
Tangela,#0114,False,Trade,Trade,Trade,"Route 21, Treasure Beach Trade Venonat at the Pokémon Lab on Cinnabar Island","Route 21, Treasure Beach Trade Venonat at the Pokémon Lab on Cinnabar Island",Trade,Cipher Key Lair (Shadow)
Kangaskhan,#0115,False,"Trade, Event","Trade, Event","Trade, Event",Safari Zone,Safari Zone,Trade,Citadark Isle (Shadow)
Horsea,#0116,False,"Routes 132, 133, and 134 (Super Rod)","Routes 132, 133, and 134 (Super Rod)","Routes 132, 133, and 134 (Super Rod) Trade Bagon in Pacifidlog Town","Vermilion City, Treasure Beach, Kindle Road, Bond Bridge, Resort Gorgeous, Water Labyrinth, Water Path, Green Path, Outcast Island, Tanoby Ruins, Five Isle Meadow, Memorial Pillar, One Island, Five Island, Icefall Cave, Trainer Tower, Pallet Town, Cinnabar Island (Good Rod or Super Rod) Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Cerulean City, Seafoam Islands (Super Rod)","Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Cerulean City, Seafoam Islands, Pallet Town, Cinnabar Island (Good Rod) Vermilion City (Good Rod or Super Rod)",Trade,Trade
Seadra,#0117,False,Evolve Horsea,Evolve Horsea,Evolve Horsea,"Routes 19, 20, and 21, Kindle Road, Treasure Beach, Bond Bridge, Resort Gorgeous, Water Labyrinth, Five Isle Meadow, Memorial Pillar, Green Path, Water Path, Outcast Island, Trainer Tower, Tanoby Ruins, Cinnabar Island, One Island, Five Island, Icefall Cave, Pallet Town (Super Rod)",Evolve Horsea,Trade,Trade
Goldeen,#0118,False,"Routes 102, 111, 114, 117, and 120, Petalburg City, Meteor Falls, Victory Road (Old Rod and Good Rod) Safari Zone (fishing)","Routes 102, 111, 114, 117, and 120, Petalburg City, Meteor Falls, Victory Road (Old Rod and Good Rod) Safari Zone (fishing)","Routes 102, 111, 114, 117, and 120 (Surfing, Old Rod and Good Rod) Petalburg City, Meteor Falls, Victory Road (Old Rod and Good Rod) Safari Zone (fishing)","Routes 6, 22, 23, 25, Ruin Valley, Cape Brink, Viridian City, Four Island, Cerulean Cave, Icefall Cave (Good Rod) Fuchsia City, Berry Forest, Safari Zone (Good Rod and Super Rod)","Routes 6, 22, 23, 25, Ruin Valley, Cape Brink, Viridian City, Four Island, Cerulean Cave, Icefall Cave (Good Rod) Fuchsia City, Berry Forest, Safari Zone (Good Rod and Super Rod)",Trade,Trade
Seaking,#0119,False,Safari Zone (Super Rod),Safari Zone (Super Rod),Safari Zone (Super Rod),"Berry Forest, Safari Zone, Fuchsia City (Super Rod)","Berry Forest, Safari Zone, Fuchsia City (Super Rod)",Trade,Trade
