Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Sandshrew,#0027,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Reveler's Road, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds (Kantonian Form) Union Circle (Alolan Form) Tera Raid Battles (1★, 3★) (Kantonian Form) Tera Raid Battle Search (3★) (Alolan Form)","Reveler's Road, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds (Kantonian Form) Chargestone Cavern, Polar Biome (Alolan Form) Tera Raid Battles (1★, 3★) (Kantonian Form) Tera Raid Battles (3★) (Alolan Form)


"
Sandslash,#0028,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Oni Mountain, Paradise Barrens, Kitakami Wilds (Kantonian Form) Tera Raid Battle Search (6★) (Alolan Form)","Oni Mountain, Paradise Barrens, Kitakami Wilds (Kantonian Form) Tera Raid Battles (6★) (Alolan Form)


"
Nidoran♀,#0029,False,"Unobtainable


","Unobtainable


",,,
Nidorina,#0030,False,"Unobtainable


","Unobtainable


",,,
Nidoqueen,#0031,False,"Unobtainable


","Unobtainable


",,,
Nidoran♂,#0032,False,"Unobtainable


","Unobtainable


",,,
Nidorino,#0033,False,"Unobtainable


","Unobtainable


",,,
Nidoking,#0034,False,"Unobtainable


","Unobtainable


",,,
Clefairy,#0035,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road, Kitakami Hall, Infernal Pass, Oni's Maw, Crystal Pool Tera Raid Battles (3★)


",,
Clefable,#0036,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (4★, 6★)


",,
Vulpix,#0037,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods (Kantonian Form) Chargestone Cavern, Polar Biome (Alolan Form) Tera Raid Battles (2★) (Kantonian Form) Tera Raid Battles (3★) (Alolan Form)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods (Kantonian Form) Union Circle (Alolan Form) Tera Raid Battles (2★) (Kantonian Form) Tera Raid Battle Search (3★) (Alolan Form)


"
Ninetales,#0038,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Tera Raid Battles (5★, 6★) (Kantonian Form) Tera Raid Battles (6★) (Alolan Form)","Tera Raid Battles (5★, 6★) (Kantonian Form) Tera Raid Battle Search (6★) (Alolan Form)


"
Jigglypuff,#0039,False,"South Province: Area Two West Province: Area Three South Province: Area Three (Water Tera Type) Tera Raid Battles (2★)


","South Province: Area Two West Province: Area Three South Province: Area Three (Water Tera Type) Tera Raid Battles (2★)


",,,
Wigglytuff,#0040,False,"North Province: Area One Tera Raid Battles (4★)


","North Province: Area One Tera Raid Battles (4★)


",,,
Zubat,#0041,False,"Unobtainable


","Unobtainable


",,,
Golbat,#0042,False,"Unobtainable


","Unobtainable


",,,
Oddish,#0043,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (1★)


",,
Gloom,#0044,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (3★)


",,
Vileplume,#0045,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (4★)


",,
Paras,#0046,False,"Unobtainable


","Unobtainable


",,,
Parasect,#0047,False,"Unobtainable


","Unobtainable


",,,
Venonat,#0048,False,"East Province: Area One, Tagtree Thicket Tera Raid Battles (1★)","East Province: Area One, Tagtree Thicket Tera Raid Battles (1★)","Savanna Biome


",,
Venomoth,#0049,False,"East Province: Tagtree Thicket North Province: Area Two, Casseroya Lake Area Zero Tera Raid Battles (3★)","East Province: Tagtree Thicket North Province: Area Two, Casseroya Lake Area Zero Tera Raid Battles (3★)","Savanna Biome


",,
Diglett,#0050,False,"South Province: Area Two, Area Six, Inlet Grotto, Alfornada Cavern (Kantonian Form) East Province: Area Three (Kantonian Form) West Province: Asado Desert (Kantonian Form) South Province: Area Two (Rock Tera Type) (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Trade (Alolan Form)","South Province: Area Two, Area Six, Inlet Grotto, Alfornada Cavern (Kantonian Form) East Province: Area Three (Kantonian Form) West Province: Asado Desert (Kantonian Form) South Province: Area Two (Rock Tera Type) (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Trade (Alolan Form)","Coastal Biome, Torchlit Labyrinth (Alolan Form) Tera Raid Battles (3★) (Alolan Form)


",,
Dugtrio,#0051,False,"South Province: Area Two, Area Six, Alfornada Cavern (Kantonian Form) East Province: Area Three (Kantonian Form) West Province: Asado Desert (Kantonian Form) North Province: Area Two, Area Three, Dalizapa Passage (Kantonian Form) Area Zero (Kantonian Form) Tera Raid Battles (4★) (Kantonian Form) Trade (Alolan Form)","South Province: Area Two, Area Six, Alfornada Cavern (Kantonian Form) East Province: Area Three (Kantonian Form) West Province: Asado Desert (Kantonian Form) North Province: Area Two, Area Three, Dalizapa Passage (Kantonian Form) Area Zero (Kantonian Form) Tera Raid Battles (4★) (Kantonian Form) Trade (Alolan Form)","Coastal Biome, Torchlit Labyrinth (Alolan Form) Tera Raid Battles (6★) (Alolan Form)


",,
Meowth,#0052,False,East Province: Area Three (Kantonian Form) West Province: Area Three (Kantonian Form) South Province: Area Two (Flying Tera Type) (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Pokémon HOME (Alolan Form) Gift from Salvatore (Galarian Form),East Province: Area Three (Kantonian Form) West Province: Area Three (Kantonian Form) South Province: Area Two (Flying Tera Type) (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Pokémon HOME (Alolan Form) Gift from Salvatore (Galarian Form),"Trade with Salvatore in the League Club Room (Alolan Form)


",,
Persian,#0053,False,South Province: Area Four (Kantonian Form) West Province: Area Three (Kantonian Form) Tera Raid Battles (4★) (Kantonian Form) Pokémon HOME (Alolan Form),South Province: Area Four (Kantonian Form) West Province: Area Three (Kantonian Form) Tera Raid Battles (4★) (Kantonian Form) Pokémon HOME (Alolan Form),"Evolve Meowth (Alolan Form)


",,
Psyduck,#0054,False,"South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two, Area Three, Tagtree Thicket West Province: Area One, Area Two, Area Three North Province: Area Two, Casseroya Lake, Glaseado Mountain Tera Raid Battles (2★)


","South Province: Area One, Area Four, Area Five, Area Six East Province: Area Two, Area Three, Tagtree Thicket West Province: Area One, Area Two, Area Three North Province: Area Two, Casseroya Lake, Glaseado Mountain Tera Raid Battles (2★)


",,,
Golduck,#0055,False,"South Province: Area Six South Province: Area Four (Psychic Tera Type) North Province: Area One, Area Three, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (4★)


","South Province: Area Six South Province: Area Four (Psychic Tera Type) North Province: Area One, Area Three, Casseroya Lake, Glaseado Mountain Area Zero Tera Raid Battles (4★)


",,,
Mankey,#0056,False,"South Province: Area One, Area Five West Province: Area One Tera Raid Battles (2★)","South Province: Area One, Area Five West Province: Area One Tera Raid Battles (2★)","Kitakami Road, Apple Hills, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Primeape,#0057,False,"South Province: Area Four West Province: Area One, Area Three North Province: Area One North Province: Glaseado Mountain (Poison Tera Type) Tera Raid Battles (4★)","South Province: Area Four West Province: Area One, Area Three North Province: Area One North Province: Glaseado Mountain (Poison Tera Type) Tera Raid Battles (4★)","Kitakami Wilds, Timeless Woods


",,
Growlithe,#0058,False,South Province: Area Three (Kantonian Form) East Province: Area Three (Kantonian Form) North Province: Area Two (Kantonian Form) East Province: Area Two (Ground Tera Type) (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Pokémon HOME (Hisuian Form),South Province: Area Three (Kantonian Form) East Province: Area Three (Kantonian Form) North Province: Area Two (Kantonian Form) East Province: Area Two (Ground Tera Type) (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Pokémon HOME (Hisuian Form),"Apple Hills,  Reveler's Road, Mossfell Confluence, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Paradise Barrens, Kitakami Wilds, Timeless Woods (Kantonian Form) Gift from Perrin  (Hisuian Form)


",,
Arcanine,#0059,False,South Province: Area Four (Kantonian Form) North Province: Area Two (Kantonian Form) Tera Raid Battles (5★) (Kantonian Form) Pokémon HOME (Hisuian Form),South Province: Area Four (Kantonian Form) North Province: Area Two (Kantonian Form) Tera Raid Battles (5★) (Kantonian Form) Pokémon HOME (Hisuian Form),"Evolve Growlithe (Kantonian/ Hisuian Forms)


",,
Poliwag,#0060,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Reveler's Road, Mossfell Confluence, Fellhorn Gorge Tera Raid Battles (1★)


",,
Poliwhirl,#0061,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Fellhorn Gorge Tera Raid Battles (3★)


",,
Poliwrath,#0062,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Abra,#0063,False,"Unobtainable


","Unobtainable


",,,
Kadabra,#0064,False,"Unobtainable


","Unobtainable


",,,
Alakazam,#0065,False,"Unobtainable


","Unobtainable


",,,
Machop,#0066,False,"Unobtainable


","Unobtainable


",,,
Machoke,#0067,False,"Unobtainable


","Unobtainable


",,,
Machamp,#0068,False,"Unobtainable


","Unobtainable


",,,
Bellsprout,#0069,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Mossfell Confluence Tera Raid Battles (2★)


",,
Weepinbell,#0070,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence Tera Raid Battles (3★)


",,
Victreebel,#0071,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★)


",,
Tentacool,#0072,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (2★)


",,
Tentacruel,#0073,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome Tera Raid Battles (4★)


",,
Geodude,#0074,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Reveler's Road, Oni Mountain, Oni's Maw, Infernal Pass, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds (Kantonian Form) Canyon Biome, Chargestone Cavern (Alolan Form) Tera Raid Battles (1★ (Kantonian Form), 3★ (Alolan Form))


",,
Graveler,#0075,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Fellhorn Gorge, Oni Mountain, Infernal Pass, Crystal Pool, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods (Kantonian Form) Canyon Biome, Chargestone Cavern (Alolan Form) Tera Raid Battles (4★) (Kantonian Form)


",,
Golem,#0076,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★) (Kantonian Form) Tera Raid Battles (6★) (Alolan Form)


",,
Ponyta,#0077,False,"Unobtainable


","Unobtainable


",,,
Rapidash,#0078,False,"Unobtainable


","Unobtainable


",,,
Slowpoke,#0079,False,"South Province: Area One, Area Five (Kantonian Form) East Province: Area Two (Kantonian Form) West Province: Area Two (Kantonian Form) North Province: Casseroya Lake (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Trade (Galarian Form)","South Province: Area One, Area Five (Kantonian Form) East Province: Area Two (Kantonian Form) West Province: Area Two (Kantonian Form) North Province: Casseroya Lake (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Trade (Galarian Form)","Coastal Biome, Torchlit Labyrinth (Galarian Form) Tera Raid Battles (3★) (Galarian Form)


",,
Slowbro,#0080,False,West Province: Area Two (Kantonian Form) North Province: Casseroya Lake (Kantonian Form) North Province: Casseroya Lake (Grass Tera Type) (Kantonian Form) Tera Raid Battles (5★) (Kantonian Form) Trade (Galarian Form),West Province: Area Two (Kantonian Form) North Province: Casseroya Lake (Kantonian Form) North Province: Casseroya Lake (Grass Tera Type) (Kantonian Form) Tera Raid Battles (5★) (Kantonian Form) Trade (Galarian Form),"Tera Raid Battles (6★) (Galarian Form)


",,
Magnemite,#0081,False,"East Province: Area Two, Area Three Tera Raid Battles (2★)","East Province: Area Two, Area Three Tera Raid Battles (2★)","Canyon Biome, Chargestone Cavern, Polar Biome


",,
Magneton,#0082,False,"North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (4★)","North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (4★)","Canyon Biome, Chargestone Cavern, Polar Biome


",,
Farfetch'd,#0083,False,"Unobtainable


","Unobtainable


",,,
Doduo,#0084,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (2★)


",,
Dodrio,#0085,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (4★)


",,
Seel,#0086,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Polar Biome Tera Raid Battles (2★)


",,
Dewgong,#0087,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Polar Biome Tera Raid Battles (4★)


",,
Grimer,#0088,False,South Province: Cortondo (Kantonian Form) East Province: Area Two (Kantonian Form) West Province: Area Two (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Trade (Alolan Form),South Province: Cortondo (Kantonian Form) East Province: Area Two (Kantonian Form) West Province: Area Two (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Trade (Alolan Form),"Coastal Biome, Torchlit Labyrinth (Alolan Form) Tera Raid Battles (3★) (Alolan Form)


",,
Muk,#0089,False,Tera Raid Battles (4★) (Kantonian Form) Trade (Alolan Form),Tera Raid Battles (4★) (Kantonian Form) Trade (Alolan Form),"Coastal Biome, Torchlit Labyrinth (Alolan Form) Tera Raid Battles (6★) (Alolan Form)


",,
Shellder,#0090,False,"South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (1★, 2★)


","South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (1★, 2★)


",,,
Cloyster,#0091,False,"South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (4★, 5★)


","South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (4★, 5★)


",,,
Gastly,#0092,False,"South Province: Area One, Area Three, Area Four East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Area Three Tera Raid Battles (2★)","South Province: Area One, Area Three, Area Four East Province: Area One, Area Two, Area Three West Province: Area One, Area Two, Area Three Tera Raid Battles (2★)","Apple Hills, Mossfell Confluence, Oni Mountain, Wistful Fields, Paradise Barrens


",,
Haunter,#0093,False,"West Province: Area One North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★) Trade Pincurchin in Levincia*","West Province: Area One North Province: Area One, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (3★) Trade Pincurchin in Levincia*","Mossfell Confluence, Oni Mountain


",,
Gengar,#0094,False,"Trade Pincurchin for Haunter in Levincia (evolves immediately) Tera Raid Battles (5★, 6★)","Trade Pincurchin for Haunter in Levincia (evolves immediately) Tera Raid Battles (5★, 6★)","Mossfell Confluence


",,
Onix,#0095,False,"Unobtainable


","Unobtainable


",,,
Drowzee,#0096,False,"South Province: Area One, Area Two, Area Three, Area Five Tera Raid Battles (1★)


","South Province: Area One, Area Two, Area Three, Area Five Tera Raid Battles (1★)


",,,
Hypno,#0097,False,"South Province: Area Six West Province: Area One, Area Three North Province: Area Three, Dalizapa Passage, Glaseado Mountain Area Zero: Depths* Tera Raid Battles (4★)


","South Province: Area Six West Province: Area One, Area Three North Province: Area Three, Dalizapa Passage, Glaseado Mountain Area Zero: Depths* Tera Raid Battles (4★)


",,,
Krabby,#0098,False,"Unobtainable


","Unobtainable


",,,
Kingler,#0099,False,"Unobtainable


","Unobtainable


",,,
Voltorb,#0100,False,"East Province: Area Three (Kantonian Form) West Province: Area One, Area Three (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Pokémon HOME, Poké Portal News (Hisuian Form)


","East Province: Area Three (Kantonian Form) West Province: Area One, Area Three (Kantonian Form) Tera Raid Battles (2★) (Kantonian Form) Pokémon HOME, Poké Portal News (Hisuian Form)


",,,
Electrode,#0101,False,"West Province: Area Three (Kantonian Form) Tera Raid Battles (4★) (Kantonian Form) Pokémon HOME (Hisuian Form)


","West Province: Area Three (Kantonian Form) Tera Raid Battles (4★) (Kantonian Form) Pokémon HOME (Hisuian Form)


",,,
Exeggcute,#0102,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Coastal Biome, Torchlit Labyrinth Tera Raid Battles (1★)


",,
Exeggutor,#0103,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome (Kantonian Form) Coastal Biome (Alolan Form) Tera Raid Battles (5★ (Kantonian Form), 6★ (Alolan Form))


",,
Cubone,#0104,False,"Unobtainable


","Unobtainable


",,,
Marowak,#0105,False,"Unobtainable


","Unobtainable


",,,
Hitmonlee,#0106,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome Tera Raid Battles (5★)


",,
Hitmonchan,#0107,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome Tera Raid Battles (5★)


",,
Lickitung,#0108,False,"Unobtainable


","Unobtainable


",,,
Koffing,#0109,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Infernal Pass, Crystal Pool


",,
Weezing,#0110,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Evolve Koffing (Kantonian Form) Evolve Koffing in Pokémon Sword and Shield via Pokémon HOME (Galarian Form)


",,
Rhyhorn,#0111,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (3★)


",,
Rhydon,#0112,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome Tera Raid Battles (4★)


",,
Chansey,#0113,False,"South Province: Area Four, Area Six East Province: Area Two West Province: Area Two, Area Three North Province: Area One, Area Two, Area Three, Casseroya Lake Area Zero Tera Raid Battles (3★)","South Province: Area Four, Area Six East Province: Area Two West Province: Area Two, Area Three North Province: Area One, Area Two, Area Three, Casseroya Lake Area Zero Tera Raid Battles (3★)","Savanna Biome


",,
Tangela,#0114,False,"Unobtainable


","Unobtainable


",,,
Kangaskhan,#0115,False,"Unobtainable


","Unobtainable


",,,
Horsea,#0116,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth, Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (1★)


",,
Seadra,#0117,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth, Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Goldeen,#0118,False,"Unobtainable


","Unobtainable


",,,
Seaking,#0119,False,"Unobtainable


","Unobtainable


",,,
Staryu,#0120,False,"Unobtainable


","Unobtainable


",,,
Starmie,#0121,False,"Unobtainable


","Unobtainable


",,,
Mr. Mime,#0122,False,"Unobtainable


","Unobtainable


",,,
Scyther,#0123,False,"South Province: Area Four, Area Six North Province: Area Two, Casseroya Lake, Socarrat Trail South Province: Area Four (Normal Tera Type) Tera Raid Battles (4★, 5★)","South Province: Area Four, Area Six North Province: Area Two, Casseroya Lake, Socarrat Trail South Province: Area Four (Normal Tera Type) Tera Raid Battles (4★, 5★)","Savanna Biome, Canyon Biome, Chargestone Cavern


",,
Jynx,#0124,False,"Unobtainable


","Unobtainable


",,,
Electabuzz,#0125,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Canyon Biome, Polar Biome, Chargestone Cavern Tera Raid Battles (4★)


",,
Magmar,#0126,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Coastal Biome, Torchlit Labyrinth Tera Raid Battles (4★)


",,
Pinsir,#0127,False,"Unobtainable


","Unobtainable


",,,
Tauros,#0128,False,"East Province: Area One (Paldean Form (Combat Breed)) East Province: Area Two (Paldean Form (Combat and Blaze Breeds)) West Province: Area Two (Paldean Form (Combat and Blaze Breeds)) East Province: Area Two (Electric Tera Type) (Paldean Form (Combat Breed)) Union Circle (Paldean Form (Aqua Breed)) Tera Raid Battles (4★, 6★) (Paldean Form (Combat Breed)) Tera Raid Battles (5★, 6★) (Paldean Form (Blaze Breed)) Tera Raid Battle Search (5★, 6★) (Paldean Form (Aqua Breed)) Trade (Kantonian Form)","East Province: Area One (Paldean Form (Combat Breed)) East Province: Area Two (Paldean Form (Combat and Aqua Breeds)) West Province: Area Two (Paldean Form (Combat and Aqua Breeds)) East Province: Area Two (Electric Tera Type) (Paldean Form (Combat Breed)) Union Circle (Paldean Form (Blaze Breed)) Tera Raid Battles (4★, 6★) (Paldean Form (Combat Breed)) Tera Raid Battles (5★, 6★) (Paldean Form (Aqua Breed)) Tera Raid Battle Search (5★, 6★) (Paldean Form (Blaze Breed)) Trade (Kantonian Form)","Savanna Biome (Kantonian Form)


",,
Magikarp,#0129,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six, South Paldean Sea, Poco Path East Province: Area Two, Area Three, East Paldean Sea, Tagtree Thicket West Province: Area Two, Area Three, West Paldean Sea North Province: Area One, North Paldean Sea, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (2★, 3★)","South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six, South Paldean Sea, Poco Path East Province: Area Two, Area Three, East Paldean Sea, Tagtree Thicket West Province: Area Two, Area Three, West Paldean Sea North Province: Area One, North Paldean Sea, Dalizapa Passage, Glaseado Mountain Tera Raid Battles (2★, 3★)","Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Oni's  Maw, Infernal Pass, Chilling Waterhead, Kitakami Wilds


",,
Gyarados,#0130,False,"South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea North Province: Casseroya Lake (Dragon Tera Type) Tera Raid Battles (5★, 6★)","South Province: South Paldean Sea East Province: East Paldean Sea West Province: West Paldean Sea North Province: North Paldean Sea North Province: Casseroya Lake (Dragon Tera Type) Tera Raid Battles (5★, 6★)","Fellhorn Gorge, Oni Mountain, Chilling Waterhead, Kitakami Wilds


",,
Lapras,#0131,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Polar Biome Tera Raid Battles (5★, 6★)


",,
Ditto,#0132,False,"West Province: Area Two, Area Three (May disguise as other Pokémon) Tera Raid Battles (3★, 4★, 5★, 6★)


","West Province: Area Two, Area Three (May disguise as other Pokémon) Tera Raid Battles (3★, 4★, 5★, 6★)


",,,
Eevee,#0133,False,"South Province: Area Two, Area Five West Province: Area Three Tera Raid Battles (3★, 5★)","South Province: Area Two, Area Five West Province: Area Three Tera Raid Battles (3★, 5★)","Trade with Penny in the League Club Room


",,
Vaporeon,#0134,False,"South Province: Area Six East Province: Tagtree Thicket North Province: Area Two, Area Three, Casseroya Lake, Glaseado Mountain North Province: Casseroya Lake (Water Tera Type) Tera Raid Battles (6★)


","South Province: Area Six East Province: Tagtree Thicket North Province: Area Two, Area Three, Casseroya Lake, Glaseado Mountain North Province: Casseroya Lake (Water Tera Type) Tera Raid Battles (6★)


",,,
Jolteon,#0135,False,"West Province: Area Three North Province: Socarrat Trail West Province: Area One (Electric Tera Type) Tera Raid Battles (6★)


","West Province: Area Three North Province: Socarrat Trail West Province: Area One (Electric Tera Type) Tera Raid Battles (6★)


",,,
Flareon,#0136,False,"South Province: Area Six North Province: Area One, Dalizapa Passage South Province: Area Five (Fire Tera Type) Tera Raid Battles (6★)


","South Province: Area Six North Province: Area One, Dalizapa Passage South Province: Area Five (Fire Tera Type) Tera Raid Battles (6★)


",,,
Porygon,#0137,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern, Polar Biome Tera Raid Battles (3★)


",,
Omanyte,#0138,False,"Unobtainable


","Unobtainable


",,,
